player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
a-capsey,A Capsey,,2.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,1.0,1.0
a-munisar,A Munisar,,,,,,,,6.0,0.0,0.0,11.0,0.0,0.0,,,1.0
aa-alleyne,AA Alleyne,,4.0,2.0,1.0,5.0,8.0,0.0,18.0,0.0,0.0,23.0,0.0,2.0,,,1.0
ae-jones,AE Jones,,7.0,1.0,0.0,6.0,7.0,0.0,,,,,,,,1.0,1.0
ass-fletcher,ASS Fletcher,,,,,,,,24.0,0.0,0.0,21.0,3.0,0.0,1.0,,1.0
ca-henry,CA Henry,,,,,,,,12.0,0.0,0.0,14.0,0.0,0.0,,,1.0
ce-dean,CE Dean,,5.0,0.0,0.0,7.0,5.0,0.0,24.0,0.0,0.0,46.0,0.0,0.0,,,1.0
djs-dottin,DJS Dottin,,19.0,2.0,0.0,4.0,27.0,2.0,18.0,0.0,0.0,16.0,2.0,0.0,3.0,1.0,1.0
dn-wyatt,DN Wyatt,,12.0,1.0,0.0,2.0,16.0,0.0,,,,,,,1.0,,1.0
dr-gibson,DR Gibson,,7.0,1.0,0.0,8.0,7.0,0.0,,,,,,,1.0,,1.0
hc-knight,HC Knight,,13.0,3.0,0.0,5.0,21.0,0.0,,,,,,,,,1.0
hk-matthews,HK Matthews,,38.0,7.0,0.0,1.0,50.0,1.0,24.0,0.0,0.0,35.0,2.0,0.0,1.0,,1.0
k-ramharack,K Ramharack,,,,,,,,6.0,0.0,0.0,9.0,0.0,0.0,,,1.0
lk-bell,LK Bell,,,,,,,,18.0,0.0,0.0,22.0,0.0,1.0,,,1.0
me-bouchier,ME Bouchier,,19.0,1.0,0.0,1.0,14.0,0.0,,,,,,,,,1.0
nr-sciver,NR Sciver,,50.0,5.0,1.0,4.0,57.0,0.0,24.0,0.0,0.0,33.0,1.0,1.0,,,1.0
q-joseph,Q Joseph,,38.0,6.0,0.0,2.0,52.0,2.0,,,,,,,1.0,,1.0
s-ecclestone,S Ecclestone,,4.0,0.0,0.0,9.0,7.0,1.0,24.0,0.0,0.0,23.0,1.0,0.0,,,1.0
s-glenn,S Glenn,,1.0,0.0,1.0,10.0,1.0,0.0,18.0,0.0,0.0,20.0,1.0,0.0,,,1.0
sa-campbelle,SA Campbelle,,9.0,0.0,0.0,3.0,5.0,0.0,,,,,,,,1.0,1.0
z-james,Z James,,,,,,,,12.0,0.0,0.0,10.0,0.0,1.0,,,1.0
