player_id,player_name,positions,recv_lg,recv_rec,recv_tar,recv_yds
josh-huff,Josh Huff,WR,10.0,4.0,8.0,33.0
marquis-bundy,Marquis Bundy,WR,17.0,3.0,8.0,40.0
