player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
fred-hardgrove,Fred Hardgrove,DB,0.0,,,,,,1.0,0.0,2.0,0.0,,,,,1.0,,,,,,,22.0,22.0,0.0,22.0,,,,,,,10.8,21.0,0.0,43.0,4.0,2.0,8.0,2.0,1.0,4.0,0.0,0.0,,,,
giovanni-sanders,Giovanni Sanders,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,22.0,4.0,71.0,6.0,2.5,3.0,2.0,0.0,5.0,,,,,,
idrissa-nikiema,Idrissa Nikiema,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,40.0,4.0,130.0,10.0,,,,,,,,,,,
isaiah-lewis,Isaiah Lewis,DB/DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
jamell-winn-ii,Jamell Winn Ii,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,38.0,3.0,88.0,5.0,,,,,,,,,,,
javon-hayes,Javon Hayes,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
jaylen-pickle,Jaylen Pickle,DL,,,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,15.8,20.0,0.0,63.0,4.0,,,,,,,,,,,
khalil-finley,Khalil Finley,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
luiz-ferreira,Luiz Ferreira,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,13.0,1.0,52.0,5.0,,,,,,,,,,,
michael-moton,Michael Moton,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
robi-stuart,Robi Stuart,DL,0.0,1.0,0.0,,,,,,,,20.0,20.0,20.0,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.0,5.0,,,,
shaun-mcgee,Shaun Mcgee,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,0.0,,
steven-newbold,Steven Newbold,,0.0,,,2.0,45.0,2.0,,,,,,,,,,11.0,42.1,0.0,1.0,295.0,7.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,5.0,5.0
tasleem-wilson,Tasleem Wilson,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
tavin-fitzgerald,Tavin Fitzgerald,DL,,,,4.0,49.0,2.0,,,,,,,,,,13.0,43.8,0.0,5.0,394.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0
tyre-williams,Tyre Williams,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.5,0.0,,
zemar-anderson,Zemar Anderson,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,7.0,,,,
