player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles
alexander-coleman,Alexander Coleman,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,0.0,9.0,1.0,,,,,,,,,
brandon-munoz,Brandon Munoz,DL,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4.0
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,0.0,9.0,1.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0
cornel-jones,Cornel Jones,LB,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0
david-brown-jr,David Brown Jr.,,,,,,,,,,,,,,,1.0,,,,7.0,0.0,0.0,7.0,,,,,,,,,,,,8.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
devontae-tinsley,Devontae Tinsley,DB,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0
dominique-shoffner,Dominique Shoffner,QB,,441.0,,,,,,,,,,,1.0,,,,,,,,,34.0,15.0,19.0,0.0,11.0,57.0,0.0,1.0,29.0,171.0,0.0,,,,,,,2.0,0.0,13.0,0.0,1.0,30.0,,,
dontae-mason,Dontae Mason,DB,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0
fred-hardgrove,Fred Hardgrove,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,0.0,44.0,6.0,5.0,0.0,11.0,0.0,2.0,56.0,,,
gibson-ziah,Gibson Ziah,DL,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5.0
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,,680.0,,,,,,,,,,,0.0,,,,,,,,,25.0,17.0,8.0,0.0,11.0,129.0,0.0,3.0,120.0,183.0,0.0,,,,,,,6.0,0.0,4.0,0.0,2.0,25.0,,,
isaiah-robinson,Isaiah Robinson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,24.0,3.0,,,,,,,,,
jamon-langford,Jamon Langford,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,0.0,0.0,15.0,1.0,,,,,,,,,
jarvai-flowers,Jarvai Flowers,WR,,,,,,,,,,,,,,2.0,,,,21.0,0.0,0.0,42.0,,,,,,,,,,,,19.0,0.0,0.0,1.0,58.0,3.0,,,,,,,,,
