player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_ir,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,16.0,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,100.0,4.0,3.0,80.0,302.0,,,,,,13.0,,3.0,3.0,56.0,13.0,4.0,4.0
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,38.0,3.0,4.0,,39.0,67.0,,1.0,,,,1.0,14.0,14.0,,,,,,,,,,
brandon-barlow,Brandon Barlow,DL/DB,,1.0,4.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,DB/LB,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-amos,DaShaun Amos,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,16.0,4.0,7.0,1.0,3.0,47.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
damonte-coxie,Damonte COXIE,WR,,,1.0,,1.0,,,,,,,,,,,35.0,4.0,6.0,,9.0,63.0,,,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,,,30.0,19.0,3.0,32.0,5.0,2.0,,244.0,,,,,,,,,,,,4.0,4.0,10.0,,,,,,,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,6.0,,,,,,,,,,,,,
dewayne-hendrix,Dewayne Hendrix,DL/DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-jackson,Don Jackson,RB,,,,,,,,,,,,,,,,13.0,6.0,8.0,,46.0,52.0,,,,,,10.0,10.0,34.0,,,,,,,,,,
