player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl,misc_forced,misc_fum,misc_lost,recv_lg,recv_rec,recv_tar,recv_yds
dasean-downey,Da\'Sean Downey,DB/LB,1.0,1.0,1.0,2.0,1.0,,,,,,,
marquis-bundy,Marquis Bundy,WR,,,3.0,3.0,,1.0,1.0,1.0,22.0,3.0,6.0,49.0
nick-temple,Nick Temple,DB/LB,2.0,,3.0,5.0,,,,,,,,
shaquille-richardson,Shaquille Richardson,DB,,,1.0,1.0,,,,,,,,
