player_id,player_name,positions,dst_touchdown,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sack,sacks,tackles
austin-mack,Austin Mack,WR,,,,,,,,,2.0,81.0,5.0,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,0.0,12.0,1.0,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,0.0,,2.0,292.0,,,,,1.0,11.0,,,
cole-spieker,Cole SPIEKER,WR,,,,,,,,,0.0,36.0,2.0,,,,,
dhaquille-williams,D\'haquille Williams,WR,,,,,,,,,0.0,102.0,5.0,,,,,
david-cote,David Côté,K,,5.0,14.0,,,,,,,,,,,,,
felix-garand-gauthier,Felix Garand-Gauthier,FB/RB,,,,,,,,,0.0,0.0,0.0,,,,,
ham-dst,HAM DST,DST,,,,,,,,38.0,,,,,,,4.0,
ham-k,HAM K,K,,,127.0,,,,,,,,,,,,,
ham-qb,HAM QB,QB,,,,2.0,,,345.0,,,,,,24.0,,,
jameer-thurman,Jameer THURMAN,DB/LB,,,,,,,,,,,,,,1.0,,4.0
james-butler,James BUTLER,RB,,,,,,,,,0.0,10.0,3.0,0.0,14.0,,,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,,,,,0.0,4.0,,,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,0.0,94.0,6.0,,,,,
keshunn-abram,Keshunn Abram,WR,,,,,,,,,0.0,32.0,2.0,,,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,,0.0,26.0,3.0,,,,,
mtl-dst,MTL DST,DST,1.0,,,,2.0,,,12.0,,,,,,,2.0,
mtl-k,MTL K,K,,5.0,14.0,,,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,,,,2.0,292.0,,,,,1.0,11.0,,,
marc-liegghio,Marc LIEGGHIO,K,,,127.0,,,,,,,,,,,,,
matthew-shiltz,Matthew Shiltz,QB,,,,2.0,,0.0,345.0,,,,,0.0,24.0,,,
richie-sindani,Richie Sindani,WR,,,,,,,,,0.0,7.0,1.0,,,,,
terry-godwin-ii,Terry Godwin II,WR,,,,,,,,,,57.0,6.0,,,,,
tim-white,Tim WHITE,WR,,,,,,,,,0.0,143.0,7.0,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,,,,,,,,,,,,,1.0
tyler-ternowski,Tyler TERNOWSKI,WR,,,,,,,,,0.0,0.0,0.0,,,,,
william-stanback,William STANBACK,RB,,,,,,,,,,37.0,3.0,,69.0,,,
