player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
anthony-lamar-dixon,Anthony Lamar Dixon,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
bizzet-woodley,Bizzet Woodley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,,,,,,,,,,,,,
brandon-kyles,Brandon Kyles,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,0.0,0.0,-5.0,1.0,14.0,34.0,5.0,0.0,70.0,,,,,,,,
bryce-holliday,Bryce Holliday,QB,,,,,,,,,,1.0,,,,,,,,,,,,10.0,8.0,21.0,4.0,83.0,,,,,,4.7,19.0,7.0,1.0,33.0,,,,,,,,
byron-cooper,Byron Cooper,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
cameron-mccauley,Cameron McCauley,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,21.0,2.0,32.0,2.0,21.0,21.0,1.0,0.0,21.0,,,,,,,,
cory-henry,Cory Henry,DL,,,,,,,,,,0.0,,,,,,,,,,,,23.0,9.0,20.0,0.0,62.0,,,,,,5.6,32.0,17.0,5.0,95.0,,,,,,,,
dajon-emory,Dajon Emory,DL,0.0,1.0,0.0,,,,-5.0,0.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
damion-barber,Damion Barber,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
darius-meadors,Darius Meadors,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
david-calderon,David  Calderon,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
dawandrick-crockett,Dawandrick Crockett,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
demario-mays,Demario Mays,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,4.0,4.0,1.0,0.0,,
dylan-karnes,Dylan Karnes,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
fred-hardgrove,Fred Hardgrove,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
isaiah-robinson,Isaiah Robinson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
james-riddle,James Riddle,LB,,,,,,,,,,,1.0,,,,,,,18.0,18.0,0.0,18.0,,,,,,9.5,15.0,0.0,19.0,2.0,,,,,,,,,,,,,
john-westor,John Westor,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
kenttwon-brown,Kenttwon Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,21.0,0.0,29.0,3.0,,,,,,,,,,,,,
king-mwikuta,King Mwikuta,DL,,,,,,,,,,,1.0,,,,,,,23.0,23.0,0.0,23.0,,,,,,,,,,,5.7,12.0,11.0,1.0,63.0,,,,,,,,
logan-stewart,Logan Stewart,WR,,,,1.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-gray,MARCUS GRAY,G,,,,,,,,,,,,6.0,47.4,0.0,2.0,332.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
makeah-scippio,Makeah Scippio,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,0.0,8.0,,,,,,,,
prince-shonola,Prince Shonola,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
raphael-turner,Raphael Turner,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,9.0,2.0,22.0,3.0,,,,,,,,,,,,,
ross-patterson,Ross Patterson,K,,,,,,,,,,,,0.0,50.0,0.0,2.0,300.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
sam-hammond,Sam Hammond,DL,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,11.0,0.0,11.0,12.0,20.0,0.0,24.0,2.0,,,,,,,,,,,,,
savion-turner,Savion Turner,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
scott-roche,Scott Roche,K,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,11.0,0.0,14.0,2.0,,,,,,,,,,,,,
shawn-coursey,Shawn Coursey,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
