player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
brett-golding,Brett Golding,OL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cameron-marshall,Cameron Marshall,RB,,,,,,,,,,,,20.0,3.0,3.0,22.0,24.0,,,,,,18.0,20.0,2.0,109.0,12.0,2.0,2.0,,,,,,
cariel-brooks,Cariel Brooks,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connor-mcgough,Connor McGough,DB/DL,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-dean,David Dean,DT/DB,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-ungerer,David Ungerer,WR,,1.0,1.0,,,,,,,,,36.0,1.0,4.0,3.0,36.0,,,,,,,,,,,,,,,,,,
david-watford,David Watford,QB,,,,,8.0,5.0,,36.0,,,74.0,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,
frankie-williams,Frankie Williams,DB,,1.0,1.0,,,,,,,,,,,,,,25.0,2.0,,,51.0,,,,,,,,,,,,,
hayden-moore,Hayden Moore,QB,,,,,28.0,18.0,4.0,24.0,2.0,1.0,218.0,,,,,,,,,,,,,,,,,,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,,,,,7.0,1.0,3.0,7.0,7.0,,,,,,,,,,,,,,,,,,
jalin-marshall,Jalin Marshall,WR,,,,,,,,,,,,20.0,4.0,4.0,48.0,54.0,,,,,,,,,,,,,,,,,,
jordan-moore,Jordan Moore,OLB/LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,70.0,4.0,4.0,73.0,245.0,,,,,9.0,,,2.0,2.0,40.0,8.0,2.0,2.0
lorenzo-mauldin,Lorenzo Mauldin,MLB/DB/DE,1.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luke-tasker,Luke Tasker,WR,,,,,,,,,,,,24.0,7.0,8.0,16.0,90.0,,,,,,,,,,,,,,,,,,
maleek-irons,Maleek Irons,RB,,,,,,,,,,,,,,2.0,,,,,,,,3.0,4.0,,6.0,,,,,,,,,
marcus-tucker,Marcus Tucker,WR,,1.0,1.0,,,,,,,,,15.0,5.0,8.0,44.0,51.0,25.0,2.0,,,30.0,1.0,2.0,,2.0,,,,,,,,,
mike-daly,Mike Daly,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-jones,Mike Jones,RB/WR,,,,,,,,,,,,17.0,2.0,2.0,8.0,30.0,,,,,,,,,,,,,,,,,,
nikola-kalinic,Nikola Kalinic,TE/FB,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
richard-leonard,Richard Leonard,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rico-murray,Rico Murray,DB/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrice-beverette,Tyrice Beverette,LB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valentin-gnahoua,Valentin Gnahoua,DB/DE,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,
