player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
marcus-sayles,Marcus SAYLES,DB,1.0,5.0,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mathieu-betts,Mathieu Betts,DB/DE/DL,,,1.0,4.0,4.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nathan-rourke,Nathan ROURKE,QB,,,,,,,,37.0,20.0,2.0,42.0,15.0,2.0,1.0,300.0,,,,,,,,,,,,,2.0,12.0,,20.0,,,,,,,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,,,,,,40.0,5.0,6.0,,33.0,74.0,,,,,,,2.0,3.0,,4.0,,,,,,,,,,,
rasheed-bailey,Rasheed Bailey,WR,,,,,,,,,,,,,,,,16.0,2.0,3.0,,11.0,26.0,,,,,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,57.0,3.0,3.0,61.0,,168.0,,,,,,,5.0,,,1.0,1.0,42.0,5.0,2.0,2.0
sione-teuhema,Sione TEUHEMA,DB/DL/DT,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-flintoft,Stefan Flintoft,K/P,,,,,,,,,,,,,,,,,,,,,,56.0,7.0,6.0,107.0,1.0,308.0,,,,,,,1.0,,,,,,,,
tj-lee,TJ LEE,DB,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terry-williams,Terry Williams,RB/WR,,,,,,,,,,,,,,,,,,,,,,20.0,4.0,,,,70.0,,,,,,,2.0,,,,,,,,
tibo-debaillie,Tibo DEBAILLIE,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
willie-jefferson,Willie JEFFERSON,DB/DE/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winston-rose,Winston Rose,DB,1.0,12.0,,8.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zach-collaros,Zach COLLAROS,QB,,,,,,,,20.0,14.0,1.0,40.0,12.0,1.0,1.0,178.0,,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,
