player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
ben-ashton,Ben Ashton,P,,,4.0,3.0,,,,,,4.0,1.0,65.0,9.0
braden-eberhard,Braden Eberhard,P,,,14.0,13.0,,2.0,1.0,,,15.0,2.0,69.0,89.0
chad-yorgason,Chad Yorgason,P,3.0,1.0,9.0,11.0,,,1.0,1.0,,11.0,,49.0,123.0
chris-lung,Chris Lung,P,3.0,1.0,24.0,28.0,,,3.0,1.0,,31.0,3.0,87.0,285.0
conor-bauman,Conor Bauman,P,1.0,,7.0,6.0,,,1.0,,10.0,8.0,2.0,22.0,40.0
daniel-winter,Daniel Winter,P,,,,,1.0,,,,,,,,
devon-terry,Devon Terry,P,,,5.0,4.0,,1.0,,,,4.0,,71.0,46.0
dexter-clyburn,Dexter Clyburn,P,2.0,,23.0,16.0,,3.0,2.0,3.0,,20.0,4.0,379.0,226.0
dylan-nice,Dylan Nice,P,1.0,,4.0,3.0,,1.0,,,,3.0,,50.0,4.0
elijah-jaime,Elijah Jaime,P,,1.0,10.0,10.0,,1.0,1.0,2.0,,10.0,,174.0,131.0
eugene-lheureux,Eugene L\'Heureux,P,1.0,2.0,7.0,8.0,,,1.0,1.0,13.0,10.0,2.0,65.0,83.0
evan-magsig,Evan  Magsig,P,2.0,,18.0,23.0,,,2.0,1.0,,26.0,3.0,100.0,260.0
everett-saunders,Everett Saunders,P,1.0,3.0,4.0,7.0,,1.0,1.0,,,8.0,1.0,34.0,110.0
gavin-may,Gavin May,P,,,11.0,9.0,,2.0,1.0,,,9.0,,76.0,51.0
jace-duennebeil,Jace Duennebeil,P,3.0,,17.0,12.0,,2.0,,,,15.0,3.0,313.0,57.0
jacob-miller,Jacob Miller,P,4.0,,52.0,56.0,,2.0,3.0,2.0,,57.0,1.0,333.0,420.0
jonny-hoffman,Jonny Hoffman,P,,2.0,2.0,1.0,,1.0,,,,2.0,1.0,34.0,8.0
jordan-kerr,Jordan Kerr,P,2.0,2.0,38.0,33.0,,5.0,4.0,1.0,,36.0,3.0,297.0,268.0
keenan-laurence,Keenan Laurence,P,2.0,1.0,18.0,13.0,,5.0,,,,13.0,,319.0,86.0
kushal-khangaonkar,Kushal Khangaonkar,P,1.0,,11.0,9.0,,1.0,1.0,,,10.0,1.0,76.0,-12.0
kyle-weinberg,Kyle Weinberg,P,1.0,2.0,8.0,7.0,,1.0,,,6.0,7.0,,66.0,19.0
logan-clarke,Logan Clarke,P,,,1.0,1.0,,,,,,1.0,,9.0,2.0
luke-yorgason,Luke Yorgason,P,2.0,1.0,38.0,51.0,,,1.0,1.0,,52.0,1.0,104.0,560.0
mac-hecht,Mac Hecht,P,1.0,2.0,42.0,55.0,,,3.0,3.0,,61.0,6.0,101.0,621.0
max-williams,Max Williams,P,4.0,1.0,18.0,16.0,,1.0,4.0,1.0,,16.0,,266.0,79.0
mckay-yorgason,McKay Yorgason,P,2.0,,42.0,46.0,,2.0,5.0,,,46.0,,108.0,236.0
mitchell-sayasene,Mitchell Sayasene,P,,,5.0,6.0,,1.0,,,1.0,7.0,1.0,-6.0,47.0
morgan-sommer,Morgan Sommer,P,,,7.0,6.0,,1.0,1.0,,,6.0,,78.0,44.0
munis-thahir,Munis Thahir,P,1.0,1.0,10.0,10.0,,,,,1.0,10.0,,113.0,50.0
nathan-huff,Nathan Huff,P,1.0,,6.0,6.0,,,,,,6.0,,43.0,40.0
raekwon-adkins,Raekwon Adkins,P,,1.0,3.0,2.0,,1.0,1.0,,,2.0,,26.0,8.0
rafael-castro,Rafael Castro,P,2.0,,6.0,6.0,,,,,,6.0,,-4.0,49.0
ray-mendoza,Ray Mendoza,P,,1.0,,1.0,,,,,,1.0,,,16.0
robin-vickers-batzdorf,Robin Vickers Batzdorf,P,2.0,,11.0,14.0,,2.0,,,10.0,14.0,,54.0,48.0
scott-kaltenecker,Scott Kaltenecker,P,,,3.0,1.0,,2.0,,,,2.0,,32.0,10.0
sean-connole,Sean Connole,P,2.0,,43.0,40.0,,4.0,4.0,1.0,,43.0,3.0,361.0,215.0
walker-frankenberg,Walker Frankenberg,P,3.0,,35.0,30.0,,6.0,4.0,1.0,,33.0,3.0,297.0,180.0
will-selfridge,Will Selfridge,P,5.0,,34.0,27.0,,3.0,4.0,,,29.0,2.0,360.0,162.0
wyatt-berreman,Wyatt Berreman,P,,1.0,3.0,3.0,,1.0,,,,3.0,,24.0,-10.0
