player_id,player_name,positions,def_solo,def_tot,ret_dwn,ret_fc,ret_in20,ret_lg,ret_net,ret_num,ret_ob,ret_ret,ret_ryds,ret_tb,ret_yds,score_pts,stat_fga,stat_pts,stat_xpa,stat_xpm
justin-zimmer,Justin Zimmer,DB/DT,1.0,1.0,,,,,,,,,,,,,,,,
kenny-allen,Kenny Allen,K/P,,,1.0,1.0,4.0,62.0,40.6,9.0,1.0,6.0,47.0,1.0,412.0,2.0,1.0,2.0,2.0,2.0
otha-foster,Otha Foster,DB/LB,3.0,3.0,,,,,,,,,,,,,,,,
