player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
adam-bighill,Adam Bighill,LB,,,,0.0,,,,,,,,,,0.0,4.0
adrian-greene,Adrian Greene,DB,,,,1.0,,,,,,,,,,0.0,1.0
alexander-hollins,Alexander HOLLINS,WR,,,,,,,,,0.0,53.0,3.0,,,,
bc-dst,BC DST,DST,,,,,,,,34.0,,,,,,3.0,
bc-k,BC K,K,2.0,155.0,,,,,,,,,,,,,
bc-qb,BC QB,QB,,,,,,1.0,352.0,,,,,,21.0,,
ben-hladik,Ben Hladik,LB,,,,0.0,,,,,,,,,,0.0,4.0
brady-oliveira,Brady OLIVEIRA,RB,,,,0.0,,,,,0.0,85.0,8.0,1.0,67.0,0.0,1.0
brandon-alexander,Brandon Alexander,DB,,,,0.0,,,,,,,,,,0.0,2.0
dalton-schoen,Dalton SCHOEN,WR,,,,0.0,,,,,0.0,86.0,5.0,,,0.0,1.0
damian-jackson,Damian Jackson,LS,,,,,,,,,0.0,12.0,1.0,,,,
david-menard,David Menard,DL/DB,,,,0.0,,,,,,,,,,0.0,1.0
deatrick-nichols,Deatrick Nichols,CB/DB,,,,0.0,,,,,,,,,,0.0,1.0
dominique-davis,Dominique Davis,QB,,,,,,,,,,,,1.0,4.0,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,0.0,107.0,5.0,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,,1.0,25.0,2.0,,,,
emmanuel-rugamba,Emmanuel Rugamba,DB,,,,0.0,,,,,,,,,,0.0,3.0
evan-holm,Evan Holm,DB,,,,0.0,,,,,,,,,,0.0,2.0
francis-bemiy,Francis Bemiy,DL,,,,0.0,,,,,,,,,,0.0,1.0
garry-peters,Garry Peters,DB,,,,0.0,,,,,,,,,,0.0,4.0
jack-hinsperger,Jack Hinsperger,LB,,,,0.0,,,,,,,,,,0.0,0.0
jackson-jeffcoat,Jackson Jeffcoat,DE/DB,,,,0.0,,,,,,,,,,2.0,3.0
jake-kelly,Jake Kelly,DB,,,,0.0,,,,,,,,,,0.0,0.0
jake-thomas,Jake Thomas,DT/DB,,,,0.0,,,,,,,,,,0.0,2.0
jalon-edwards-cooper,Jalon Edwards-Cooper,DB,,,,0.0,,,,,,,,,,0.0,7.0
jamal-parker,Jamal Parker,DB,,,,0.0,,,,,,,,,,0.0,5.0
jermarcus-hardrick,Jermarcus Hardrick,OL,,,,0.0,,,,,,,,,,0.0,1.0
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,1.0,88.0,2.0,,,,
johnny-augustine,Johnny AUGUSTINE,RB,,,,0.0,,,,,,,,,,0.0,0.0
josh-banks,Josh Banks,DL/DB,,,,0.0,,,,,,,,,,0.0,1.0
josh-woods,Josh Woods,LB,,,,0.0,,,,,,,,,,0.0,7.0
justin-mcinnis,Justin MCINNIS,WR,,,,,,,,,0.0,17.0,1.0,,,,
kenny-lawler,Kenny Lawler,WR,,,,,,,,,0.0,97.0,9.0,,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,,,0.0,31.0,3.0,,,,
kyrie-wilson,Kyrie Wilson,LB,,,,0.0,,,,,,,,,,0.0,2.0
lucky-whitehead,Lucky Whitehead,WR,,,,,,,,,0.0,10.0,2.0,,,,
malik-clements,Malik Clements,LB,,,,0.0,,,,,,,,,,1.0,2.0
marcus-sayles,Marcus Sayles,DB,,,,0.0,,,,,,,,,,0.0,2.0
mathieu-betts,Mathieu Betts,DE/DL/DB,,,,0.0,,,,,,,,,,1.0,2.0
nic-demski,Nic DEMSKI,WR,,,,,,,,,0.0,16.0,2.0,0.0,24.0,,
patrice-rene,Patrice Rene,DB,,,,0.0,,,,,,,,,,0.0,0.0
quincy-mauger,Quincy Mauger,DB,,,,0.0,,,,,,,,,,0.0,2.0
rasheed-bailey,Rasheed Bailey,WR,,,,,,,,,0.0,48.0,2.0,,,,
