player_id,player_name,positions,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_yards,sacks,tackles
adam-sparks,Adam Sparks,CB/DB,,,,,,,,,,,,4.5
adrian-killins,Adrian Killins,RB,,,,,,,,,,1.0,,
brandon-arconado,Brandon Arconado,WR,,,,,,,,32.0,3.0,,,
cj-avery,C.J. Avery,LB,,1.0,,,,,,,,,,5.5
cinque-sweeting,Cinque Sweeting,WR,,,,,,,1.0,64.0,3.0,6.0,,
dj-calhoun,D.J. Calhoun,LB,,,,,,,,,,,,6.0
davonte-lambert,Davonte Lambert,DL/DT,,,,,,,,,,,,1.5
deandre-torrey,DeAndre Torrey,RB,,,,,,,,2.0,2.0,16.0,,
devante-bausby,De\'Vante Bausby,DB/CB,,1.0,,,,,,,,,,2.0
deveon-smith,De\'Veon Smith,RB,,,,,,,,15.0,2.0,42.0,,
deontay-anderson,Deontay Anderson,SAF/DB,,,,,,,,,,,,5.5
donald-payne,Donald Payne,OLB/LB,,,,2.0,,,,,,,0.5,5.5
drew-plitt,Drew Plitt,QB,1.0,,,,,172.0,,,,16.0,,
geronimo-allison,Geronimo Allison,WR,,,,,,,,22.0,3.0,,,
jahsheem-martin,Jah\'Sheem Martin,DL,,,,,,,,,,,,4.0
jawuan-johnson,Jawuan Johnson,LB,,,,,,,,,,,,4.5
jeff-badet,Jeff Badet,WR,,,,,,,4.0,155.0,11.0,,,
john-lovett,John Lovett,RB,,,1.0,,,,,,,10.0,,
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,22.0,1.0,,,
josh-hawkins,Josh Hawkins,DB,,,,1.0,,,,,,,,5.0
keith-ford,Keith Ford,RB,,,,,,,,,,24.0,,1.0
keylon-kennedy,Keylon Kennedy,CB/DB,,,,,,,,,,,,3.0
laron-stokes,LaRon Stokes,DL/DT/DE,,,,,,,,,,,1.5,5.5
luis-perez,Luis Perez,QB,2.0,,,,5.0,391.0,,,,,,
martavis-bryant,Martavis Bryant,WR,,,,,,,,28.0,4.0,,,
mathew-sexton,Mathew Sexton,WR,,,,,,,,27.0,2.0,,,
michael-carrizosa,Michael Carrizosa,K/P,,,,,,,,,,2.0,,
mister-harriel,Mister Harriel,DB/FS,,,,,,,,19.0,1.0,,,1.0
nate-becker,Nate Becker,TE,,,,,,,,-3.0,1.0,,,
nijuel-hill,Nijuel Hill,DB,,,,1.0,,,,,,,,
otaro-alaka,Otaro Alaka,LB,,,,,,,,,,,,0.5
pj-dawson,P.J. Dawson,LB,,,,,,,,,,,,2.0
pita-taumoepenu,Pita Taumoepenu,LB/OLB,,,,,,,,,,,,1.0
renegades-qb,Renegades QB,QB,1.0,,,,,172.0,,,,16.0,,
robert-windsor,Robert Windsor,DL,,,,,,,,,,,,3.0
rod-smith,Rod Smith,RB,,,,,,,,7.0,2.0,1.0,,
sal-cannella,Sal Cannella,TE,,,,,,,,76.0,9.0,,,
sean-modster,Sean Modster,WR,,,,,,,,-2.0,1.0,,,
shakur-brown,Shakur Brown,DB/CB,,,,,,,,,,,,3.0
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,38.0,4.0,,,
vic-beasley,Vic Beasley,LB/DE,,,,1.0,,,,,,,0.5,2.0
vipers-qb,Vipers QB,QB,2.0,,1.0,,3.0,249.0,,,,,,
will-clarke,Will Clarke,OLB/DL/DT,,,,,,,,,,,,2.0
will-hill,Will Hill,DB,,,,,,,,,,,,3.0
