player_id,player_name,positions,1pt_conversion,conversions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adrian-hardy,Adrian Hardy,WR,,,,,,,,1.0,,,,0.0,21.0,3.0,,,
alex-mcgough,Alex McGough,QB,,,,,,0.0,,,1.0,176.0,,,,,1.0,22.0,
anthony-jones,Anthony Jones,RB,,,,,,,,,,,,0.0,3.0,1.0,0.0,23.0,
battlehawks-dst,Battlehawks DST,DST,,,,,1.0,,0.0,,,,9.0,,,,,,2.0
battlehawks-k,Battlehawks K,K,,,,97.0,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,,,,,1.0,,,1.0,158.0,,,,,1.0,57.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,0.0,9.0,2.0,,,
brandon-aubrey,Brandon Aubrey,K/PK,,,3.0,22.0,,,,,,,,,,,,,
breakers-dst,Breakers DST,DST,,,,,1.0,,0.0,,,,24.0,,,,,,3.0
breakers-k,Breakers K,K,,,,135.0,,,,,,,,,,,,,
breakers-qb,Breakers QB,QB,,1.0,,,,1.0,,,1.0,279.0,,,,,0.0,0.0,
cj-marable,CJ Marable,RB,,,,,,,,,,,,0.0,52.0,6.0,0.0,86.0,
chris-pierce-jr,Chris Pierce Jr.,TE,,,,,,,,,,,,0.0,11.0,1.0,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
davion-davis,Davion Davis,WR,,,,,,,,,,,,0.0,20.0,1.0,,,
deneric-prince,Deneric Prince,RB,,,,,,,,,,,,0.0,14.0,6.0,0.0,44.0,
deon-cain,Deon Cain,WR,,,,,,,,,,,,0.0,16.0,1.0,,,
dresser-winn,Dresser Winn,QB,,,,,,0.0,,1.0,1.0,196.0,,,,,0.0,8.0,
ej-perry,E.J. Perry,QB,,,,,,,,,,,,,,,0.0,2.0,
eli-stove,Eli Stove,WR,,,,,,,,,,,,0.0,26.0,2.0,0.0,9.0,
frank-darby,Frank Darby,WR,,,,,,,,,,,,0.0,37.0,2.0,,,
gary-jennings,Gary Jennings,WR,,,,,,,,,,,,0.0,61.0,3.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,,0.0,6.0,1.0,,,
isaiah-washington,Isaiah Washington,WR,,,,,,,,,,,,0.0,15.0,2.0,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,1.0,28.0,2.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,,,,0.0,25.0,2.0,0.0,36.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,,1.0,6.0,3.0,0.0,0.0,
jake-sutherland,Jake Sutherland,TE/WR,,,,,,,,,,,,0.0,8.0,1.0,,,
jarveon-howard,Jarveon Howard,RB,1.0,,,,,,,,,,,0.0,6.0,1.0,0.0,20.0,
johnnie-dixon,Johnnie Dixon,WR,,,,,,,,,,,,0.0,97.0,6.0,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,1.0,157.0,10.0,0.0,9.0,
kai-locksley-2,Kai Locksley,WR,,,,,,,,,,,,0.0,60.0,3.0,,,
lamichael-pettway,La\'Michael Pettway,TE,,,,,,,,,,,,0.0,15.0,1.0,,,
lee-morris,Lee Morris,WR,,,,,,,,,,,,1.0,16.0,3.0,,,
matt-coghlin,Matt Coghlin,K,,,,162.0,,,,,,,,,,,,,
max-duggan,Max Duggan,QB,,,,,,1.0,,,1.0,158.0,,0.0,,,1.0,57.0,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,1.0,,,,1.0,,,1.0,279.0,,,,,,,
myron-mitchell,Myron Mitchell,WR,,,,,,,,,,,,0.0,14.0,1.0,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,,,,,1.0,2.0,
rodrigo-blankenship,Rodrigo Blankenship,K,,,,97.0,,,,,,,,,,,,,
showboats-k,SHOWBOATS K,K,,,,27.0,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,,,0.0,,1.0,1.0,196.0,,,,,0.0,8.0,
sage-surratt,Sage Surratt,TE,,1.0,,,,,,,,,,0.0,64.0,5.0,,,
showboats-dst,Showboats DST,DST,,,,,,,1.0,,,,19.0,,,,,,2.0
stallions-dst,Stallions DST,DST,,,,,2.0,,1.0,,,,20.0,,,,,,2.0
stallions-k,Stallions K,K,,,3.0,22.0,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,,,,0.0,,,1.0,176.0,,,,,1.0,22.0,
thaddeus-moss,Thaddeus Moss,FB/TE,,,,,,,,,,,,0.0,10.0,1.0,,,
wes-hills,Wes Hills,RB,,,,,,,,1.0,,,,0.0,11.0,3.0,0.0,77.0,
