player_id,player_name,positions,fg_made,pass_td,recv_td,rush_td
dequan-dudley,DeQuan  Dudley,WR,2.0,,,
demry-croft,Demry Croft,QB,,,1.0,
kaytron-allen,Kaytron Allen,DB,,,,1.0
raphael-turner,Raphael Turner,OL,,1.0,,
sean-connaghan,Sean Connaghan,LB,1.0,,,
stephen-nagbe-jr,Stephen Nagbe Jr,DL,,1.0,,
tracy-brooks,Tracy Brooks,RB,,,1.0,
