player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,60.0,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,1.0,24.0,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,2.0,,,161.0,,,,,8.0,,
boris-bede,Boris Bede,K,4.0,27.0,,,,,,,,,,,
cam-phillips,Cam Phillips,WR,,,,,,,,8.0,1.0,,,,
chad-kelly,Chad KELLY,QB,,,,,,238.0,,,,3.0,28.0,,
dhaquille-williams,D\'haquille Williams,WR,,,,,,,,102.0,6.0,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,29.0,2.0,,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,131.0,6.0,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,7.0,1.0,,,,
ham-dst,HAM DST,DST,,,,,,,32.0,,,,,1.0,
ham-qb,HAM QB,QB,,,,,1.0,273.0,,,,,10.0,,
jameer-thurman,Jameer Thurman,LB/DB,,,,,,,,,,,,,4.0
james-butler,James BUTLER,RB,,,,,,,,57.0,7.0,1.0,60.0,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,26.0,3.0,,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,38.0,3.0,,-2.0,,
matthew-shiltz,Matthew Shiltz,QB,,,,,1.0,118.0,,,,,2.0,,
tor-dst,TOR DST,DST,,,,2.0,,,14.0,,,,,2.0,
terry-godwin-ii,Terry Godwin II,WR,,,,,,,,28.0,4.0,,,,
tim-white,Tim White,WR,,,,,,,,44.0,5.0,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,,,,,,,,,,7.0
tyler-ternowski,Tyler TERNOWSKI,WR,,,,,,,,19.0,4.0,,,,
