player_id,player_name,positions,assisted_tackles,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-aiken,Aaron Aiken,QB,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
aaron-dilworth,Aaron Dilworth,WR,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,6.0,1.0,1.5,2.0,2.0,1.0,3.0,,,,,,,,
albert-curran-iv,Albert Curran IV,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
andre-thomas-cobb,Andre Thomas-Cobb,WR,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,12.3,17.0,1.0,49.0,4.0,1.5,2.0,2.0,0.0,3.0,,,,,,,,
andre-white-jr,Andre White Jr.,,7.0,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3.0,10.0,0.5,0.0,,
asi-tupua,Asi Tupua,DL,0.0,,,,,,,2.0,,,,,,,17.0,19.0,0.0,34.0,,,,,,,14.0,14.0,1.0,14.0,1.0,,,,,,,,1.0,1.0,,,,
bryce-holliday,Bryce Holliday,QB,,,,,,,0.0,,,,,,,,,,,,24.0,21.0,,24.0,5.0,216.0,,,,,,0.8,9.0,5.0,0.0,4.0,,,,,,,,
carlton-watkins,Carlton Watkins,DB,,,,,,,,,11.0,49.5,0.0,4.0,594.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0
chase-alisauckas,Chase Alisauckas,LB,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,0.0,16.0,1.0,8.5,39.0,14.0,5.0,119.0,,,,,,,,
cory-henry,Cory Henry,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
darius-meadors,Darius Meadors,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
devin-groenhagen,Devin Groenhagen,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,17.8,21.0,0.0,71.0,4.0,,,,,,,,0.0,1.0,,,,
drake-johnson,Drake Johnson,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
dren-johnson,Dren Johnson,DB,,,,,,,0.0,,,,,,,,,,,,7.0,3.0,,21.0,0.0,51.0,,,,,,4.5,11.0,4.0,2.0,18.0,,,,,,,,
drew-prohaska,Drew Prohaska,RB,,,,,,,0.0,,,,,,,,,,,,10.0,7.0,,19.0,1.0,105.0,,,,,,9.3,24.0,3.0,2.0,28.0,,,,,,,,
fred-flavors,Fred Flavors,,0.0,,,,,,,2.0,,,,,,,26.0,50.0,1.0,52.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
geovonte-howard-injured-reserve,Geovonte Howard (Injured Reserve),DB,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,15.5,19.0,0.0,31.0,2.0,3.0,3.0,1.0,0.0,3.0,,,,,,,,
jalen-hicks,Jalen Hicks,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
john-westor,John Westor,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
kearyn-taylor,Kearyn Taylor,ATH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
