player_id,player_name,positions,def_ast,def_solo,def_tot,pass_20,pass_att,pass_cmp,pass_fd,pass_int,pass_lg,pass_yds,rush_att,rush_lg,rush_yds
derrick-moncrief,Derrick MONCRIEF,DB/LB,1.0,3.0,4.0,,,,,,,,,,
devlin-hodges,Devlin Hodges,QB,,1.0,1.0,2.0,19.0,11.0,5.0,1.0,20.0,85.0,1.0,3.0,3.0
