player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alexander-coleman,Alexander Coleman,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
bizzet-woodley,Bizzet Woodley,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,8.0,1.0,,,,,,1.0,1.0,1.0,0.0,,
byron-cooper,Byron Cooper,LB,2.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
caleb-shudak,Caleb  Shudak,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,
charles-westbrook,Charles Westbrook,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,,
cory-henry,Cory Henry,DL,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,0.0,12.0,1.0,0.0,2.0,4.0,0.0,0.0,,,,,,
dnerius-antoine,D'Nerius Antoine,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
deanthony-hall-steele,Deanthony  Hall-Steele,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,4.0,1.0,3.0,8.0,3.0,0.0,9.0,,,,,,
demario-mays,Demario Mays,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,0.0,,
easias-gandy,Easias Gandy,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
eric-thomas-jr,Eric Thomas Jr.,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,
fred-hardgrove,Fred Hardgrove,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,4.0,,,,
greg-dent,Greg Dent,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,0.0,,
isaiah-hall,Isaiah Hall,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,
isaiah-robinson,Isaiah Robinson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
james-riddle,James Riddle,LB,,,,,,,,,,,,,,,2.0,,,,,,,20.5,24.0,0.0,41.0,,,,,,,15.0,30.0,1.0,60.0,4.0,,,,,,,,,,,
jamon-langford,Jamon Langford,WR,0.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jayshawn-washington,Jayshawn Washington,DL,1.0,2.0,0.0,,,,,,,,8.5,17.0,17.0,0.0,,,,,,,,,,,,1.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.0,,,,
jeff-mack-ii,Jeff Mack II,RB/WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,13.8,23.0,2.0,55.0,4.0,0.6,9.0,7.0,1.0,4.0,0.0,0.0,,,,
kavon-samuels,Kavon Samuels,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
kedarius-davis,KeDarius Davis,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,17.0,0.0,38.0,3.0,3.0,7.0,2.0,0.0,6.0,,,,,,
korrell-koehlmoos,Korrell Koehlmoos,WR,,,,,,,,,1.0,1.0,,,,,5.0,,,,,,,11.2,17.0,0.0,56.0,,,,,,,21.0,23.0,1.0,42.0,2.0,,,,,,,,,,,
kye-black,Kye Black,LB,0.0,,,1.0,38.0,1.0,,,,,,,,,,8.0,50.0,0.0,2.0,350.0,7.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,6.0,5.0
logan-stewart,Logan Stewart,WR,0.0,,,3.0,36.0,2.0,,,,,,,,,,7.0,46.8,0.0,0.0,281.0,6.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,3.0,1.0
lorenzo-brown,Lorenzo Brown,QB,,,,,,,,,,,,,,1.0,,,,,,,,,,,,22.0,11.0,,23.0,4.0,149.0,,,,,,5.5,19.0,4.0,1.0,22.0,,,,,,
luiz-ferreira,Luiz Ferreira,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
rashad-ridley,Rashad Ridley,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
rashaud-powell,Rashaud Powell,DL,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
sam-hammond,Sam Hammond,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,,,,,,1.0,1.0,,,,
steven-newbold-jr,"Steven Newbold, Jr.",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,16.0,2.0,1.8,9.0,6.0,0.0,11.0,0.0,1.0,,,,
thurlow-wilkins,Thurlow Wilkins,RB,0.0,,,,,,1.0,0.0,1.0,0.0,,,,3.0,,,,,,,,,,,,24.0,9.0,,30.0,3.0,98.0,,,,,,4.0,6.0,4.0,0.0,16.0,0.0,0.0,,,,
tirri-jones,Tirri Jones,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,1.0,0.0,,
travion-mosby,Travion Mosby,DB,1.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,3.0,,,,
trey-dudley-giles,Trey Dudley-Giles,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,10.0,1.0,8.0,8.0,1.0,0.0,8.0,1.0,1.0,1.0,0.0,,
