player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
aaron-jones,Aaron Jones,RB,1.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,1.0
bl-couch,BL Couch,,,,,,,,8.0,1.0,0.0,21.0,1.0,1.0,,1.0
c-le-roux,C le Roux,,,,,,,,18.0,0.0,0.0,14.0,2.0,0.0,,1.0
cj-anderson,CJ Anderson,,1.0,1.0,1.0,6.0,4.0,0.0,10.0,0.0,0.0,11.0,1.0,0.0,1.0,1.0
cj-gannon,CJ Gannon,,,,,,,,12.0,0.0,0.0,29.0,1.0,0.0,,1.0
fh-allen,FH Allen,,30.0,8.0,0.0,1.0,77.0,6.0,,,,,,,2.0,1.0
gsnfg-jayasuriya,GSNFG Jayasuriya,,33.0,4.0,0.0,4.0,31.0,0.0,,,,,,,1.0,1.0
h-klaasen,H Klaasen,,8.0,1.0,0.0,5.0,8.0,0.0,,,,,,,,1.0
haris-rauf,Haris Rauf,,,,,,,,24.0,0.0,0.0,32.0,0.0,0.0,,1.0
harmeet-singh-2,Harmeet Singh (2),,7.0,0.0,0.0,7.0,3.0,0.0,20.0,0.0,0.0,39.0,2.0,1.0,,1.0
hassan-khan,Hassan Khan,,,,,,,,12.0,0.0,0.0,5.0,3.0,0.0,,1.0
imad-wasim,Imad Wasim,,11.0,2.0,1.0,9.0,17.0,0.0,24.0,0.0,0.0,20.0,1.0,0.0,,1.0
jp-inglis,JP Inglis,,17.0,2.0,1.0,4.0,24.0,1.0,,,,,,,,1.0
kma-paul,KMA Paul,,1.0,0.0,0.0,8.0,0.0,0.0,18.0,0.0,0.0,33.0,0.0,1.0,,1.0
l-ngidi,L Ngidi,,,,,,,,12.0,0.0,0.0,32.0,0.0,0.0,1.0,1.0
mw-short,MW Short,,14.0,0.0,0.0,2.0,19.0,2.0,24.0,0.0,0.0,24.0,0.0,0.0,,1.0
pj-cummins,PJ Cummins,,,,,,,,24.0,0.0,0.0,45.0,0.0,0.0,,1.0
q-de-kock,Q de Kock,,33.0,8.0,0.0,2.0,62.0,3.0,,,,,,,,1.0
rd-rickelton,RD Rickelton,,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0,1.0
se-rutherford,SE Rutherford,,8.0,1.0,0.0,5.0,17.0,2.0,,,,,,,,1.0
sp-krishnamurthi,SP Krishnamurthi,,16.0,1.0,0.0,3.0,10.0,0.0,,,,,,,1.0,1.0
shubham-ranjane,Shubham Ranjane,,25.0,1.0,1.0,6.0,26.0,1.0,,,,,,,,1.0
