player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kicking_pat_pct,kr_avg,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
brandon-nicholson,Brandon Nicholson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,
chris-fitzgerald,Chris Fitzgerald,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
cornel-jones,Cornel Jones,LB,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0
darien-townsend,DARIEN TOWNSEND,WR,,,,,,,,,,,,,,,1.0,,,,,15.0,0.0,15.0,,,,,,,,,,,8.0,16.0,0.0,0.0,1.0,64.0,8.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,,
duane-brown,DUANE  BROWN,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,,,,,-3.0,0.0,-3.0,,,,,,,,,,,13.0,35.0,0.0,0.0,3.0,120.0,9.0,0.0,,,,,,,,0.0,1.0
daniel-williams-iii,Daniel Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,30.0,0.0,0.0,6.0,105.0,10.0,,,,,,,,,,
drew-singleton,Drew Singleton,LB,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
evan-byrd,Evan Byrd,K,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,4.0,7.0,571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isaiah-mcfarland,Isaiah McFarland,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
isiah-scott,Isiah Scott,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,12.0,32.0,0.0,0.0,4.0,107.0,9.0,,,,,,,,,0.0,1.0
ismail-abdul-qawee,Ismail Abdul-Qawee,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
jairus-grissom,Jairus Grissom,QB,,,,,,,,,,,,,,,1.0,,,,,1.0,0.0,1.0,,,,,,,,,,,14.0,25.0,0.0,0.0,1.0,70.0,5.0,0.0,,,,,,,,,
jalen-jackson,Jalen Jackson,RB,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
jaohne-duggan,Jaohne Duggan,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
jarvai-flowers,Jarvai Flowers,WR,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,18.0,18.0,0.0,0.0,0.0,18.0,1.0,,,,,,,,,0.0,4.0
joshua-zacher,Joshua Zacher,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,0.0,3.0,0.0,0.0,6.0,0.0,1.0
justin-sykes,Justin Sykes,P,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
khai-west,Khai West,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
lorenzo-jones-jr,Lorenzo Jones Jr.,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
malik-henry,Malik Henry,WR,,583.0,,,,,,,,,,,,1.0,,,,,,,,,36.0,21.0,30.0,10.0,0.0,103.0,0.0,7.0,210.0,0.0,,,,,,,,,1.0,1.0,0.0,4.0,0.0,0.0,2.0,,
markus-smith,Markus Smith,,0.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
michael-white,Michael White,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
morris-joseph-jr,Morris Joseph Jr.,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
oscar-roden,Oscar Roden,K,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,5.0,8.0,625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
qaadir-shepard,Qaadir Shepard,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
ricky-weaver,Ricky Weaver,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,0.0,0.0,3.0,,
sam-castranova,Sam Castranova,,,744.0,,,,,,,,,,,,0.0,,,,,,,,,39.0,29.0,35.0,11.0,0.0,137.0,2.0,9.0,316.0,0.0,,,,,,,,,-4.0,1.0,0.0,3.0,0.0,0.0,-11.0,,
seth-robertson,Seth Robertson,,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
shahuan-williams,Sha'huan Williams,DL,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,2.0
trevante-long,Trevante Long,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,18.0,18.0,0.0,0.0,0.0,18.0,1.0,,,,,,,,,0.0,1.0
tyrese-chambers,Tyrese Chambers,WR,,,,,,,,,,,,,,,2.0,,,,,23.0,0.0,47.0,,,,,,,,,,,12.0,12.0,0.0,0.0,0.0,24.0,2.0,0.0,,,,,,,,,
vance-bennett,Vance Bennett,WR,,,,,,,,,,,,,,,5.0,,,,,32.0,1.0,160.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
