player_id,player_name,positions,conversions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
austin-reed,Austin Reed,QB,,,,,1.0,,,,2.0,101.0,,,,,0.0,6.0,
chandler-rogers,Chandler Rogers,QB,1.0,,,,0.0,,,,2.0,266.0,,,,,1.0,21.0,
colton-theaker,Colton Theaker,K,,2.0,49.0,,,,,1.0,,,,,,,,,
curtis-hodges,Curtis Hodges,TE,,,,,,,,,,,,1.0,39.0,2.0,,,
dallas-renegades-dst,DALLAS RENEGADES DST,DST/K,,2.0,49.0,1.0,,0.0,,1.0,,,37.0,,,,,,1.0
dallas-renegades-qb,DALLAS RENEGADES QB,QB,,,,,1.0,,,,2.0,139.0,,,,,0.0,23.0,
drake-stoops,Drake Stoops,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
ellis-merriweather,Ellis Merriweather,RB,,,,,,,,,,,,,,,0.0,20.0,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,,0.0,38.0,1.0,,,
greg-ward,Greg Ward,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
ian-wheeler,Ian Wheeler,RB,,,,,,,,,,,,0.0,21.0,2.0,1.0,93.0,
isaiah-winstead,Isaiah Winstead,WR,0.0,,,,,,,,,,,1.0,44.0,2.0,,,
james-robinson,James Robinson,RB,1.0,,,,,,1.0,,,,,0.0,14.0,2.0,0.0,88.0,
kaden-prather,Kaden Prather,WR,,,,,,,,,,,,0.0,28.0,1.0,,,
keegan-jones,Keegan Jones,RB,,,,,,,,,,,,0.0,-1.0,1.0,0.0,8.0,
louisville-kings-dst,LOUISVILLE KINGS DST,DST/K,,2.0,134.0,,,1.0,,,,,23.0,,,,,,2.0
louisville-kings-qb,LOUISVILLE KINGS QB,QB,1.0,,,,0.0,,,,2.0,266.0,,,,,1.0,21.0,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,0.0,7.0,1.0,1.0,56.0,
lucky-jackson,Lucky Jackson,WR,,,,,,,,,,,,0.0,31.0,1.0,,,
luke-lehnen,Luke Lehnen,QB,,,,,0.0,,,,0.0,38.0,,,,,0.0,17.0,
seth-green,Seth Green,TE,,,,,,,,,,,,0.0,20.0,2.0,,,
tanner-brown,Tanner Brown,K,,2.0,134.0,,,,,,,,,,,,,,
tarik-black,Tarik Black,WR,,,,,,,,,,,,1.0,82.0,4.0,0.0,3.0,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,,1.0,36.0,1.0,,,
zach-davidson,Zach Davidson,TE,,,,,,,,,,,,0.0,46.0,4.0,,,
