player_id,player_name,positions,attempts,avg,award_mvp,long,td,yards
aoto-itō,Aoto Itō,,80.0,5.05,,25.0,3.0,404.0
aruto-nishimura,Aruto Nishimura,,17.0,10.29,,35.0,2.0,175.0
atomu-oshida,Atomu Oshida,,13.0,11.46,,38.0,,149.0
atsumu-endō,Atsumu Endō,,36.0,3.47,,21.0,1.0,125.0
boogie-knight,Boogie Knight,,,,1.0,,,
daisuke-katō,Daisuke Katō,,43.0,4.95,,19.0,1.0,213.0
day-raymond,Day Raymond,,16.0,16.38,,49.0,3.0,262.0
garrett-samuel-safron,Garrett Samuel Safron,,32.0,3.34,,29.0,,107.0
gōshi-yokogawa,Gōshi Yokogawa,,33.0,3.82,,11.0,,126.0
hiraku-fukasu,Hiraku Fukasu,,14.0,5.64,,14.0,,79.0
hiroki-yamada,Hiroki Yamada,,58.0,3.81,,21.0,2.0,221.0
hiroshi-kawamura,Hiroshi Kawamura,,36.0,5.08,,25.0,1.0,183.0
hiroya-kobayashi,Hiroya Kobayashi,,32.0,3.81,,15.0,,122.0
jamal-watanabe,Jamal Watanabe,,14.0,13.79,,36.0,,193.0
junpei-yoshimoto,Junpei Yoshimoto,,16.0,9.25,,25.0,,148.0
kazuhiro-arima,Kazuhiro Arima,,20.0,5.6,,22.0,,112.0
kazuki-kawabata,Kazuki Kawabata,,19.0,11.84,,67.0,1.0,225.0
kento-minami,Kento Minami,,15.0,8.47,,17.0,,127.0
kento-shibata,Kento Shibata,,61.0,2.66,,19.0,,162.0
khris-vaughn,Khris Vaughn,,14.0,12.71,,42.0,1.0,178.0
kiminori-yokoyama,Kiminori Yokoyama,,13.0,8.46,,17.0,,110.0
kōhei-oda,Kōhei Oda,,18.0,10.61,,17.0,,191.0
kōki-ōmichi,Kōki Ōmichi,,38.0,3.11,,19.0,,118.0
louis-morikawa,Louis Morikawa,,24.0,5.88,,19.0,1.0,141.0
masaki-kawabuchi,Masaki Kawabuchi,,29.0,4.66,,20.0,,135.0
masaki-kawanami,Masaki Kawanami,,14.0,9.43,,38.0,,132.0
masato-satō,Masato Satō,,23.0,4.61,,31.0,14.0,106.0
moyuru-tanaka,Moyuru Tanaka,,44.0,3.25,,16.0,1.0,143.0
rei-kohara,Rei Kohara,,11.0,18.0,,72.0,1.0,198.0
ryō-tsuruda,Ryō Tsuruda,,18.0,6.11,,40.0,1.0,110.0
ryōtarō-hoshino,Ryōtarō Hoshino,,36.0,6.5,,31.0,1.0,234.0
ryūki-itō,Ryūki Itō,,43.0,4.19,,17.0,1.0,180.0
ryūnosuke-kawamura,Ryūnosuke Kawamura,,64.0,5.3,,53.0,1.0,339.0
takanobu-watanabe,Takanobu Watanabe,,44.0,3.16,,30.0,,139.0
takumi-yamaoka,Takumi Yamaoka,,11.0,16.36,,51.0,,180.0
takurō-abe,Takurō Abe,,34.0,12.74,,52.0,2.0,433.0
takuto-sudō,Takuto Sudō,,36.0,5.0,,60.0,1.0,180.0
takuya-fujimoto,Takuya Fujimoto,,35.0,4.4,,19.0,1.0,154.0
tatsurō-kimata,Tatsurō Kimata,,15.0,9.93,,23.0,,149.0
tatsuya-miki,Tatsuya Miki,,17.0,10.65,,29.0,1.0,181.0
tetsu-onuki,Tetsu Onuki,,18.0,9.78,,36.0,1.0,176.0
theo-howard,Theo Howard,,25.0,11.24,,48.0,2.0,281.0
trashaun-nixon,Trashaun Nixon,,,,1.0,,,
victor-jamal-mitchell,Victor Jamal Mitchell,,20.0,7.6,,32.0,,152.0
yūshirō-sakai,Yūshirō Sakai,,23.0,5.87,,32.0,,135.0
yūto-moriwake,Yūto Moriwake,,32.0,3.63,,21.0,,116.0
