player_id,player_name,positions,pass_att,pass_cmp,pass_gp,pass_int,pass_td,pass_yds
bo-levi-mitchell,Bo Levi Mitchell,QB,261.0,160.0,18.0,6.0,9.0,2010.0
cody-fajardo,Cody FAJARDO,QB,401.0,282.0,17.0,13.0,16.0,3360.0
dane-evans,Dane Evans,QB,457.0,305.0,17.0,16.0,16.0,3883.0
jake-maier,Jake Maier,QB,277.0,207.0,18.0,7.0,14.0,2389.0
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,579.0,387.0,18.0,15.0,23.0,4731.0
nathan-rourke,Nathan ROURKE,QB,324.0,255.0,10.0,10.0,25.0,3349.0
nick-arbuckle,Nick ARBUCKLE,QB,423.0,291.0,17.0,14.0,6.0,3291.0
taylor-cornelius,Taylor Cornelius,QB,357.0,205.0,12.0,9.0,11.0,2768.0
trevor-harris,Trevor HARRIS,QB,462.0,331.0,18.0,12.0,20.0,4157.0
zach-collaros,Zach COLLAROS,QB,436.0,305.0,18.0,13.0,37.0,4183.0
