player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
bizzet-woodley,Bizzet Woodley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,0.0,13.0,1.0,6.0,6.0,1.0,0.0,6.0,,,,,,,,
brean-michel,Brean Michel,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,,,
brian-robinson,Brian Robinson,RB/WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
byron-cooper,Byron Cooper,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,,
charles-baker,Charles Baker,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,21.0,1.0,77.0,8.0,4.0,4.0,1.0,0.0,4.0,,,1.0,1.0,,,,
damecio-ewing-jr,Damecio Ewing Jr,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
david-ross,David Ross,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,0.0,26.0,2.0,,,,,,,,,,,,,
demario-mays,Demario Mays,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
demry-croft,Demry Croft,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
donovan-johnson,Donovan Johnson,WR,1.0,1.0,0.0,,,,,,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
fred-hardgrove,Fred Hardgrove,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,2.0,2.0,1.0,0.0,,
gibson-ziah,Gibson Ziah,DL,,,,2.0,32.0,1.0,,,,,,,,9.0,45.6,0.0,0.0,410.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0
harold-brooks,Harold Brooks,ATH,,,,,,,,,,,,,,3.0,38.0,0.0,0.0,228.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
horatio-smith,Horatio Smith,WR,,,,,,,,,,,,2.0,,,,,,,,,,,,10.0,3.0,,30.0,1.0,51.0,,,,,,5.8,15.0,13.0,1.0,76.0,,,,,,,,
isaiah-robinson,Isaiah Robinson,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,,
jamarii-milliken,Jamarii Milliken,DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
james-riddle,James Riddle,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,1.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,,,3.0,3.0,,,,
james-summers,James Summers,QB/WR/LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,27.0,2.0,38.0,3.0,,,,,,,,,,,,,
jared-bronson,Jared Bronson,OL,,,,,,,,,,,,,3.0,,,,,,,21.7,25.0,0.0,65.0,,,,,,,16.0,16.0,0.0,16.0,1.0,2.5,7.0,4.0,2.0,10.0,,,,,,,,
jarmon-fortson,Jarmon Fortson,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
jaxon-neubert,Jaxon Neubert,WR,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
kaytron-allen,Kaytron Allen,DB,,,,,,,,,,,,,4.0,,,,,,,14.5,25.0,0.0,58.0,,,,,,,27.0,27.0,1.0,27.0,1.0,5.5,19.0,13.0,1.0,71.0,,,,,,,,
michael-miller,Michael Miller,DB,1.0,1.0,0.0,,,,,,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
rodrick-washington-jr,Rodrick Washington Jr,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
shaquan-curenton,Shaquan Curenton,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,1.0,0.0,,
shay-roberts,Shay Roberts,OL,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,27.0,1.0,27.0,,,,,,4.0,4.0,1.0,0.0,4.0,,,,,,,,
tabyus-taylor,Tabyus Taylor,RB,,,,,,,,,,,,,1.0,,,,,,,7.0,7.0,0.0,7.0,,,,,,,7.0,7.0,0.0,7.0,1.0,7.0,8.0,2.0,0.0,14.0,,,,,,,,
tony-kennedy,Tony Kennedy,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
travion-mosby,Travion Mosby,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
travis-anderson,Travis Anderson,OL,,,,,,,1.0,0.0,,,,0.0,,,,,,,,,,,,20.0,15.0,,27.0,3.0,154.0,,,,,,2.7,9.0,10.0,2.0,27.0,,,,,,,,
tremell-gooden,Tremell Gooden,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
wesley-jones,Wesley Jones,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,3.0,,,,
zackary-ninekirk,Zackary Ninekirk,DE,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,4.0,0.5,0.0,,
