player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,12.0,2.0,,84.0,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,0.0,9.0,,
boris-bede,Boris Bede,K,3.0,17.0,,,,,,,,,,,
cam-phillips,Cam Phillips,WR,,,,,,,0.0,39.0,3.0,,,,
cameron-dukes,Cameron Dukes,QB,,,,,,,,,,1.0,1.0,,
chad-kelly,Chad KELLY,QB,,,0.0,2.0,306.0,,,,,1.0,18.0,,
dhaquille-williams,D\'haquille Williams,WR,,,,,,,0.0,65.0,6.0,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,1.0,80.0,4.0,,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,0.0,43.0,3.0,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,0.0,50.0,1.0,,,,
felix-garand-gauthier,Felix Garand-Gauthier,RB/FB,,,,,,,0.0,0.0,0.0,,,,
ham-dst,HAM DST,DST,,,,,,31.0,,,,,,2.0,
ham-k,HAM K,K,,76.0,,,,,,,,,,,
ham-qb,HAM QB,QB,,,1.0,,282.0,,,,,1.0,37.0,,
jameer-thurman,Jameer Thurman,DB/LB,,,,,,,,,,,,1.0,6.0
james-butler,James BUTLER,RB,,,,,,,0.0,58.0,6.0,0.0,14.0,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,0.0,40.0,4.0,,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,1.0,69.0,6.0,,,,
marc-liegghio,Marc LIEGGHIO,K,,76.0,,,,,,,,,,,
richie-sindani,Richie Sindani,WR,,,,,,,0.0,11.0,2.0,,,,
tor-dst,TOR DST,DST,,,,,,15.0,,,,,,2.0,
tor-k,TOR K,K,3.0,17.0,,,,,,,,,,,
tor-qb,TOR QB,QB,,,,2.0,306.0,,,,,1.0,18.0,,
tim-white,Tim White,WR,,,,,,,0.0,0.0,0.0,0.0,2.0,,
tunde-adeleke,Tunde Adeleke,DB,,,,,,,,,,,,,2.0
