player_id,player_name,positions,1pt_conversion,blocked_punt,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aaron-shampklin,Aaron Shampklin,RB,,,,,,,,,,,,,,,,0.0,8.0,
adrian-hardy,Adrian Hardy,WR,,,,,,,,,,,,,0.0,19.0,1.0,,,
alex-mcgough,Alex McGough,QB,,,,,,,1.0,,1.0,2.0,208.0,,,,,1.0,34.0,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,,,,1.0,36.0,4.0,0.0,6.0,
andrew-peasley,Andrew Peasley,QB,1.0,,,,,,0.0,,,0.0,93.0,,,,,0.0,22.0,
brandon-aubrey,Brandon Aubrey,K/PK,,,,5.0,24.0,,,,,,,,,,,,,
cj-marable,CJ Marable,RB,,,,,,,,,,,,,0.0,37.0,3.0,1.0,32.0,
cade-johnson,Cade Johnson,WR,,,,,,,,,,,,,0.0,30.0,4.0,,,
clint-sigg-jr,Clint Sigg Jr.,TE,,,,,,,,,,,,,0.0,7.0,1.0,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
davion-davis,Davion Davis,WR,1.0,,,,,,,,,,,,0.0,50.0,6.0,,,
deneric-prince,Deneric Prince,RB,,,,,,,,,,,,,0.0,9.0,2.0,1.0,39.0,
deon-cain,Deon Cain,WR,,,,,,,,,1.0,,,,1.0,61.0,3.0,,,
dresser-winn,Dresser Winn,QB,,,,,,,2.0,,,0.0,113.0,,,,,0.0,15.0,
eli-stove,Eli Stove,WR,,,,,,,,,,,,,0.0,6.0,2.0,,,
gamblers-dst,Gamblers DST,DST,,,,,,2.0,,1.0,,,,32.0,,,,,,0.0
gamblers-k,Gamblers K,K,,,,,171.0,,,,,,,,,,,,,
gamblers-qb,Gamblers QB,QB,,,,,,,1.0,,1.0,0.0,180.0,,,,,0.0,43.0,
harrison-mevis,Harrison Mevis,K,,,,,103.0,,,,,,,,,,,,,
isaiah-washington,Isaiah Washington,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
isaiah-zuber,Isaiah Zuber,WR,,,,,,,,,,,,,,48.0,4.0,,-1.0,
isiah-hennie,Isiah Hennie,WR,,,,,,,,,,,,,0.0,22.0,4.0,,,
jmar-smith,J\'Mar Smith,QB,1.0,,,,,,0.0,,,1.0,127.0,,,,,0.0,2.0,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,,1.0,95.0,4.0,,,
jalen-camp,Jalen Camp,WR,,,,,,,,,,,,,0.0,26.0,3.0,,,
jalen-jackson,Jalen Jackson,RB,,,,,,,,,,,,,,,,0.0,29.0,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,,,,0.0,10.0,1.0,0.0,1.0,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,0.0,25.0,2.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,,,0.0,9.0,1.0,,,
josh-pederson,Josh Pederson,TE/WR/RB,,,,,,,,,,,,,0.0,36.0,5.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,,0.0,45.0,6.0,,,
kai-locksley-2,Kai Locksley,WR,,,,,,,,,,,,,0.0,55.0,5.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,0.0,9.0,1.0,,,
kenji-bahar,Kenji Bahar,QB,,,,,,,1.0,,1.0,0.0,149.0,,,,,0.0,15.0,
lamichael-pettway,La\'Michael Pettway,TE,,,,,,,,,,,,,0.0,17.0,1.0,,,
larry-rountree-iii,Larry Rountree III,RB,1.0,,,,,,,,,,,,0.0,6.0,1.0,1.0,34.0,
mark-thompson,Mark Thompson,RB,,,,,,,,,,,,,0.0,15.0,3.0,0.0,56.0,
marlon-williams,Marlon Williams,WR,1.0,,,,,,,,,,,,0.0,33.0,2.0,0.0,12.0,
matt-coghlin,Matt Coghlin,K,,,,,25.0,,,,,,,,,,,,,
montell-cozart,Montell Cozart,QB,,,,,,,0.0,,,0.0,31.0,,,,,0.0,28.0,
myron-mitchell,Myron Mitchell,WR,,,,,,,,,,,,,0.0,15.0,1.0,,,
nick-vogel,Nick Vogel,K,,,,,171.0,,,,,,,,,,,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,,,0.0,0.0,0.0,2.0,60.0,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,,0.0,4.0,1.0,,,
showboats-k,SHOWBOATS K,K,,,,,25.0,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,,,,2.0,,,0.0,127.0,,,,,0.0,22.0,
showboats-dst,Showboats DST,DST,,,,,,,,0.0,,,,34.0,,,,,,0.0
stallions-dst,Stallions DST,DST,,0.0,3.0,,,2.0,,3.0,,,,24.0,,,,,,8.0
stallions-k,Stallions K,K,,,,5.0,127.0,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,2.0,,,,,,1.0,,1.0,3.0,428.0,,,,,1.0,58.0,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,0.0,12.0,2.0,,,
troy-williams,Troy Williams,QB,,,,,,,0.0,,,0.0,14.0,,,,,0.0,7.0,
tyler-palka,Tyler Palka,WR,,,,,,,,,,,,,0.0,4.0,1.0,,,
