player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
nicholas-taylor,Nicholas Taylor,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-arbuckle,Nick ARBUCKLE,QB,,,1.0,1.0,,,32.0,23.0,,43.0,21.0,4.0,1.0,310.0,,,,,,,,,,,,5.0,2.0,1.0,6.0,,6.0,1.0,1.0,,,,,,
rasheed-bailey,Rasheed Bailey,WR,,,,,,,,,,,,,,,9.0,4.0,8.0,1.0,7.0,29.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
ricky-collins,Ricky Collins,WR,,,,,,,,,,,,,,,43.0,5.0,7.0,,46.0,52.0,,,,,,,,,,,,,,,,,,,
shaquille-richardson,Shaquille Richardson,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shawn-oakman,Shawn Oakman,DL/DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shayne-gauthier,Shayne Gauthier,LB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treston-decoud,Treston Decoud,CB/DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler-crapigna,Tyler Crapigna,K,,,,,,,,,,,,,,,,,,,,,69.0,2.0,2.0,32.0,132.0,,,,,,4.0,,,2.0,,,3.0,3.0,3.0
vontae-diggs,Vontae Diggs,OLB/LB,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
willie-jefferson,Willie Jefferson,DE/DL/DB,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zach-collaros,Zach COLLAROS,QB,,,,,,,33.0,18.0,1.0,,2.0,1.0,2.0,204.0,,,,,,,,,,,,1.0,4.0,,4.0,,,,,,,,,,
