player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
bryce-holliday,Bryce Holliday,QB,,,,,,,,,,1.0,,,,,,,,,,,,22.0,14.0,,16.0,2.0,118.0,,,,,,0.1,13.0,8.0,1.0,1.0,,,,,,
calvin-lowe,Calvin Lowe,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,6.0,7.0,3.0,9.0,,,,,,
cameron-hunt-ii,Cameron Hunt II,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,9.0,12.0,0.0,18.0,2.0,,,,,,0.0,1.0,,,,
cameron-mccauley,Cameron McCauley,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,15.0,0.0,49.0,4.0,3.0,3.0,1.0,0.0,3.0,,,,,,
colby-thomas,Colby Thomas,G/OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
cornel-jones,Cornel Jones,LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
demetrich-anderton,Demetrich Anderton,OL,6.0,1.0,0.0,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,
drew-crooks,Drew Crooks,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,13.0,0.0,29.0,4.0,11.1,32.0,8.0,3.0,89.0,,,,,,
guillermo-serrano,Guillermo Serrano,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,30.0,2.0,101.0,7.0,,,,,,,,,,,
idrissa-nikiema,Idrissa Nikiema,K,,,,1.0,0.0,0.0,,,,,,8.0,34.7,0.0,0.0,382.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0
javin-kilgo,Javin Kilgo,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,9.0,9.0,1.0,0.0,9.0,1.0,1.0,,,,
jeff-mack-ii,Jeff Mack II,RB/WR,3.0,,,,,,,,,,1.0,,,,,,,12.0,12.0,0.0,12.0,,,,,,,,,,,,,,,,,4.0,7.0,,,,
john-westor,John Westor,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.5,0.0,,
joshua-hollins,Joshua Hollins,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,20.0,2.0,89.0,8.0,,,,,,,,,,,
justin-gilbert,Justin Gilbert,DB,,,,,,,,,,0.0,,,,,,,,,,,,30.0,24.0,,30.0,5.0,260.0,,,,,,2.0,13.0,3.0,0.0,6.0,,,,,,
kameronn-joseph,Kameronn Joseph,WR,7.0,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,2.0,9.0,,,,
