player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
albany-qb,ALBANY QB,QB,,4.0,127.0,,,,,35.0
carlton-brown,Carlton Brown,RB,,,,,,,,3.0
darien-townsend,DARIEN TOWNSEND,WR,,,,1.0,20.0,3.0,,
duane-brown,DUANE  BROWN,WR,,,,2.0,55.0,5.0,,
isaiah-scott,Isaiah Scott,WR,,,,1.0,45.0,3.0,,
jordon-gandy,Jordon Gandy,WR,,,,0.0,62.0,7.0,,4.0
marquel-wade,MARQUEL WADE,WR,,,,0.0,7.0,1.0,,
nashville-qb,NASHVILLE QB,QB,,3.0,239.0,,,,,-11.0
sam-castronova,Sam Castronova,QB,0.0,4.0,127.0,,,,0.0,35.0
trevonte-long,Trevonte Long,WR,,,,0.0,38.0,2.0,,
