player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adrian-martinez,Adrian Martinez,QB,,1.0,,0.0,,,1.0,155.0,,,,,0.0,138.0,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,0.0,17.0,1.0,,,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,0.0,11.0,2.0,,,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,1.0,1.0,1.0,0.0,4.0,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,0.0,12.0,1.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,0.0,33.0,3.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,0.0,4.0,1.0,,,
jj-molson,J.J. Molson,K,,,36.0,,,,,,,,,,,,
jmar-smith,J\'Mar Smith,QB,1.0,,,,,,,,,,,,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,1.0,46.0,2.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,0.0,21.0,1.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,0.0,93.0,11.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,0.0,88.0,7.0,,,
larry-rountree-iii,Larry Rountree III,RB,,,,,,,,,,0.0,0.0,0.0,1.0,50.0,
mark-thompson,Mark Thompson,RB,,,,,,,,,,0.0,11.0,2.0,0.0,11.0,
marlon-williams,Marlon Williams,WR,,,,,,,,,,0.0,22.0,2.0,,,
nolan-henderson,Nolan Henderson,QB,,,,1.0,,,0.0,35.0,,,,,,,
reid-sinnett,Reid Sinnett,QB,,,,1.0,,,1.0,203.0,,,,,0.0,6.0,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,0.0,7.0,1.0,2.0,25.0,
roughnecks-dst,Roughnecks DST,DST,,,,,0.0,,,,32.0,,,,,,2.0
roughnecks-k,Roughnecks K,K,,,36.0,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,2.0,,,1.0,238.0,,,,,0.0,6.0,
stallions-dst,Stallions DST,DST,,,,,2.0,,,,9.0,,,,,,1.0
stallions-k,Stallions K,K,,,64.0,,,1.0,,,,,,,,,
stallions-qb,Stallions QB,QB,,1.0,,0.0,,,1.0,155.0,,,,,0.0,138.0,
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,,0.0,15.0,4.0,0.0,15.0,
