player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anders-carlson,Anders Carlson,PK/K,,,,,1.0,,,,,,,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,0.0,5.0,2.0,0.0,30.0,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,DST/K/QB,1.0,,0.0,0.0,1.0,0.0,143.0,16.0,,,,0.0,0.0,2.0
cam-camper,Cam Camper,WR,,,,,,,,,1.0,44.0,4.0,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,0.0,29.0,4.0,0.0,2.0,
daewood-davis,Daewood Davis,WR,,,,,,,,,0.0,10.0,2.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,0.0,12.0,3.0,,,
deonte-brown,Deonte Brown,OG,1.0,,,,,,,,,,,,,
elijhah-badger,Elijhah Badger,WR,,,,,,,,,0.0,63.0,3.0,,,
jabre-barber,Jabre Barber,WR,,,,,,,,,0.0,0.0,0.0,,,
jack-plummer,Jack Plummer,QB,,,0.0,,,1.0,182.0,,,,,0.0,41.0,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,0.0,17.0,2.0,0.0,58.0,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,0.0,35.0,4.0,,,
jerome-kapp,Jerome Kapp,WR,,,,,,,,,0.0,11.0,1.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,0.0,4.0,1.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,0.0,41.0,2.0,,,
matt-corral,Matt Corral,QB,,,0.0,,,0.0,83.0,,,,,0.0,-1.0,
michael-hiers,Michael Hiers,QB,,,0.0,,,0.0,60.0,,,,,0.0,1.0,
michael-lantz,Michael Lantz,K,1.0,110.0,,,,,,,,,,,,
orlando-storm-dst,ORLANDO STORM DST,DST,,,,0.0,,,,0.0,,,,,,2.0
orlando-storm-k,ORLANDO STORM K,K,1.0,110.0,,,,,,,,,,,,
orlando-storm-qb,ORLANDO STORM QB,QB,,,0.0,,,1.0,182.0,,,,,0.0,41.0,
sam-wiglusz,Sam Wiglusz,WR,,,,,,,,,0.0,0.0,0.0,,,
shawn-bowman,Shawn Bowman,TE,,,,,,,,,0.0,0.0,0.0,,,
steven-stilianos,Steven Stilianos,TE,,,,,,,,,0.0,8.0,1.0,,,
tre-stewart,Tre Stewart,RB,,,,,,,,,0.0,10.0,2.0,0.0,23.0,
tyler-davis,Tyler Davis,WR/RB/TE,,,,,,,,,,0.0,1.0,,,
tyrion-davis-price,Tyrion Davis-Price,RB,,,,,,,,,0.0,27.0,4.0,0.0,6.0,
