player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-davis,Aj Davis,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,10.0,1.0,,,,,,,,,,,,,
antonio-wimbush,Antonio Wimbush,RB,,,,,,,,,,,1.0,,,,,,,12.0,12.0,0.0,12.0,,,,,,,15.0,15.0,0.0,15.0,1.0,7.0,9.0,2.0,0.0,14.0,,,,,,,,
bemnet-morgan,Bemnet Morgan,DB,,,,,,,,,,1.0,,,,,,,,,,,,20.0,11.0,,31.0,2.0,140.0,,,,,,3.3,4.0,3.0,1.0,10.0,,,,,,,,
brandon-scott,Brandon Scott,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,0.0,13.0,1.0,5.1,16.0,16.0,1.0,81.0,,,,,,,,
caleb-streat,Caleb Streat,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,,,,
carl-robinson-iii,Carl Robinson III,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
cole-lundy,Cole Lundy,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,29.0,4.0,134.0,9.0,4.0,4.0,1.0,0.0,4.0,,,,,,,,
damecio-ewing-jr,Damecio Ewing Jr,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,6.0,,,,
damon-stokes,Damon Stokes,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,4.0,5.0,1.0,0.0,,
desmond-grace,Desmond Grace,DB,0.0,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,13.7,31.0,0.0,41.0,3.0,,,,,,,,1.0,1.0,1.0,0.0,,
donovan-johnson,Donovan Johnson,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,,
erick-young,Erick Young,RB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,,,
fred-bruno,Fred Bruno,WR,,,,,,,,,,0.0,,,,,,,,,,,,26.0,16.0,,29.0,6.0,215.0,,,,,,-9.0,0.0,1.0,0.0,-9.0,,,,,,,,
greg-conry,Greg Conry,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,30.0,2.0,69.0,5.0,,,,,,,,,,,,,
isaiah-blackmon,Isaiah Blackmon,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,7.0,1.0,,,,,,,,,,,,,
jahmal-sam,Jahmal Sam,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
jailin-singleton,Jailin Singleton,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jarvai-flowers,Jarvai Flowers,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jatavius-stewart,Jatavius Stewart,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,5.0,,,,
jerome-buckner,Jerome Buckner,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,7.0,1.0,,,,,,,,1.0,1.0,,,,
josh-batiste,Josh Batiste,RB,,,,1.0,15.0,1.0,,,,,,10.0,34.4,0.0,4.0,310.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0
joshua-neal,Joshua Neal,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,9.0,0.0,15.0,2.0,,,,,,,,,,,,,
juan-moore,Juan Moore,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,25.0,2.0,66.0,6.0,6.0,7.0,3.0,0.0,18.0,,,0.0,1.0,,,,
keshaun-taylor,KESHAUN TAYLOR,WR,,,,,,,,,,,4.0,,,,,,,18.3,29.0,0.0,73.0,,,,,,,,,,,,5.0,6.0,2.0,2.0,10.0,,,,,,,,
