player_id,player_name,positions,fg_made,pass_td,pat_made,recv_td,rush_td
reggie-young,Reggie Young,DB,,,,1.0,
simeon-burns,Simeon Burns,DB,2.0,,,,
tyalen-shaw,Tyalen Shaw,QB,,,1.0,,1.0
tyler-clark,Tyler Clark,DT/DL,,1.0,,,
