player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
andrew-sjogren,Andrew Sjogren,P,2.0,,23.0,20.0,,2.0,3.0,,,,21.0,,216.0,130.0
asher-lantz,Asher Lantz,P,,1.0,,4.0,,,,,1.0,,6.0,,,13.0
benjamin-preiss,Benjamin Preiss,P,2.0,,24.0,21.0,,2.0,1.0,1.0,,,23.0,1.0,202.0,170.0
bryan-walsh,Bryan Walsh,P,1.0,,53.0,61.0,,,3.0,,,,66.0,4.0,113.0,121.0
cal-tornabene,Cal Tornabene,P,1.0,,7.0,5.0,,,,,,,6.0,1.0,109.0,38.0
caleb-stanish,Caleb Stanish,P,,,1.0,1.0,,,,,,,1.0,,4.0,-2.0
carson-chamberlain,Carson Chamberlain,P,,2.0,9.0,6.0,1.0,1.0,1.0,,,,8.0,,159.0,19.0
charlie-furse,Charlie Furse,P,,2.0,7.0,6.0,,2.0,2.0,,,,7.0,,22.0,17.0
chris-ellis,Chris Ellis,P,,,1.0,3.0,,,,,,,3.0,2.0,-2.0,36.0
colin-beauregard,Colin Beauregard,P,,,3.0,4.0,,,,1.0,,,4.0,,5.0,20.0
colin-fremeau,Colin Fremeau,P,1.0,,2.0,1.0,,,,,,,2.0,,29.0,1.0
daniel-robinson,Daniel Robinson,P,,,11.0,10.0,,1.0,1.0,,,,10.0,1.0,67.0,14.0
dex-dremann,Dex Dremann,P,,1.0,5.0,9.0,,1.0,1.0,,8.0,,9.0,1.0,20.0,67.0
didzis-malderis,Didzis Malderis,P,1.0,,4.0,5.0,,,2.0,,,,5.0,1.0,29.0,39.0
dylan-hall,Dylan Hall,P,1.0,1.0,3.0,3.0,,1.0,,1.0,10.0,,5.0,,28.0,28.0
ian-falck,Ian Falck,P,2.0,1.0,12.0,11.0,,,1.0,,,,11.0,1.0,68.0,91.0
isaiah-moore,Isaiah Moore,P,,1.0,2.0,1.0,,1.0,1.0,,,,1.0,,58.0,13.0
jace-bruner,Jace Bruner,P,,,8.0,7.0,,1.0,,1.0,,,11.0,,81.0,92.0
jack-havey,Jack Havey,P,2.0,,31.0,30.0,,1.0,1.0,,,,32.0,1.0,283.0,229.0
jake-kenniv,Jake Kenniv,P,5.0,,31.0,27.0,2.0,2.0,,1.0,,,30.0,3.0,181.0,167.0
jake-steslicki,Jake Steslicki,P,2.0,1.0,22.0,22.0,,3.0,3.0,,,,22.0,,88.0,73.0
jerry-kelly,Jerry Kelly,P,1.0,1.0,7.0,8.0,,1.0,1.0,,,,8.0,,-1.0,22.0
jesse-johnson,Jesse Johnson,P,1.0,,8.0,10.0,,,,,,,10.0,,47.0,40.0
joe-simonelli,Joe Simonelli,P,1.0,,1.0,1.0,,,1.0,,4.0,,2.0,,-4.0,13.0
joel-willison,Joel Willison,P,1.0,,2.0,2.0,,,,,,,2.0,,20.0,20.0
joseph-cubitt,Joseph Cubitt,P,3.0,,46.0,50.0,,,3.0,3.0,,,54.0,3.0,41.0,256.0
luke-brennan,Luke Brennan,P,3.0,1.0,12.0,14.0,,1.0,1.0,1.0,,,17.0,3.0,49.0,138.0
malachi-neil,Malachi Neil,P,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,26.0,-24.0
matt-gubernick,Matt Gubernick,P,,1.0,,1.0,,,,,,,1.0,,,2.0
michael-weber,Michael Weber,P,,,4.0,3.0,,,1.0,,,1.0,5.0,2.0,30.0,11.0
nicholas-betsch,Nicholas Betsch,P,1.0,2.0,24.0,17.0,,3.0,1.0,1.0,,,21.0,4.0,200.0,27.0
nico-lake,Nico Lake,P,3.0,,34.0,34.0,,1.0,3.0,1.0,,,38.0,,115.0,163.0
paul-arters,Paul Arters,P,3.0,,20.0,19.0,,1.0,,2.0,,,21.0,2.0,213.0,235.0
ricky-ramirez,Ricky Ramirez,P,,1.0,2.0,2.0,,2.0,,,,,2.0,,8.0,-1.0
robbie-davenport,Robbie Davenport,P,1.0,,39.0,43.0,1.0,1.0,1.0,,,,44.0,,-21.0,229.0
sam-kaminsky,Sam Kaminsky,P,3.0,1.0,24.0,32.0,,2.0,2.0,,,,35.0,3.0,25.0,208.0
terry-gaither,Terry Gaither,P,,,1.0,1.0,,,,,1.0,,1.0,,44.0,4.0
trevor-polisuk-balfour,Trevor Polisuk-Balfour,P,,1.0,3.0,3.0,,2.0,2.0,,,,4.0,,28.0,31.0
tyler-mitchuson,Tyler Mitchuson,P,,1.0,3.0,2.0,,,,,9.0,,3.0,1.0,36.0,-3.0
vedant-sachdeva,Vedant Sachdeva,P,1.0,,6.0,5.0,,,,,,,6.0,,5.0,26.0
