player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
mdkj-perera,MDKJ Perera,,21.0,3.0,1.0,1.0,18.0,0.0,,,,,,,1.0
rubel-hossain,Rubel Hossain,,,,,,,,18.0,0.0,0.0,20.0,0.0,0.0,1.0
tm-dilshan,TM Dilshan,,9.0,1.0,1.0,2.0,10.0,0.0,,,,,,,1.0
ziaur-rahman,Ziaur Rahman,,,,,,,,12.0,0.0,0.0,9.0,0.0,1.0,1.0
