player_id,player_name,positions,completion_pct,field_goal_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,points,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,xp_attempts,xp_made,xp_pct,yards_per_game
armonti-carey,Armonti Carey,OL/DL,,,,,,0.0,0.0,12.0,,2.0,,,,,,,,,,,,,,,,16.0,,,,7.0,,,,,0.0,0.0,2.0,9.0,0.0,2.5,,,,13.0
brian-robinson,Brian Robinson,RB/WR,,,,,,,,8.0,,83.0,0.0,0.0,20.0,13.8,,,,,,,,,,0.0,0.0,3.0,8.3,23.0,1.0,225.0,28.1,27.0,3.4,,,,,1.0,,308.0,,,,38.5
calvin-fance,Calvin Fance,RB,,,,,,1.0,1.0,5.0,,2.8,,,,,,,,,,,,,,,,14.0,,,,12.0,,,,2.3,4.0,4.0,0.0,9.0,1.8,9.0,,,,1.8
dwayne-hollis,Dwayne Hollis,DB,,,,,,,,8.0,,26.0,0.0,0.0,17.0,13.0,,,,,,,,,,0.0,0.0,34.0,,,,13.0,,,,,,,,21.0,,26.0,,,,3.3
emory-sammons,Emory  Sammons,WR,100.0,,,,,0.0,0.0,12.0,0.0,1.0,,,,,3.0,3.0,24.0,9.7,181.2,0.0,29.0,4.1,,,,7.0,10.0,18.0,0.0,60.0,8.6,6.0,0.9,2.3,10.0,6.0,2.0,14.0,2.0,74.0,,,,12.0
jared-dangerfield,Jared Dangerfield,WR,,,,,,0.0,0.0,98.0,,1.0,0.0,0.0,0.0,-1.0,,,,,,,,,,0.0,0.0,11.0,8.3,30.0,11.0,384.0,48.0,46.0,5.8,1.5,5.0,11.0,5.0,16.0,2.0,399.0,,,,49.9
jeremiah-zene-jr,Jeremiah Zene Jr,FB/DL,28.6,,,,,1.0,1.0,5.0,0.0,2.0,,,,,7.0,2.0,0.0,-2.3,9.4,0.0,-16.0,-3.2,,,,1.0,,,,0.0,,,,-5.2,3.0,5.0,0.0,1.0,-5.2,0.0,,,,0.0
keith-newell,Keith Newell,OL,,,,,,,,5.0,,0.0,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,2.0,0.4,1.0,0.2,,,,,0.0,,2.0,,,,4.0
laroche-jackson,LaRoche Jackson,DB,,,,,,,,7.0,,4.4,,,,,,,,,,,,,,,,31.0,,,,12.0,,,,,,,,19.0,,0.0,,,,0.0
larry-beavers,Larry Beavers,WR,,,,,,2.0,1.0,14.0,,73.0,0.0,0.0,18.0,12.2,,,,,,,,,,0.0,0.0,3.0,10.9,42.0,2.0,470.0,58.8,43.0,5.4,,0.0,0.0,0.0,2.0,0.0,543.0,,,,67.9
neiko-creamer,Neiko Creamer,WR/LB,,,,,,,,6.0,,3.8,,,,,,,,,,,,,,,,19.0,9.5,15.0,0.0,19.0,3.8,2.0,0.4,,,,,8.0,,19.0,,,,3.8
nicholas-jakelsky,Nicholas Jakelsky,K,,4.0,0.0,0.0,0.0,,,8.0,,0.0,,,,,,,,,,,,,8.0,,,0.0,,,,0.0,,,,,,,,2.7,,0.0,12.0,8.0,67.0,0.0
nick-hagg,Nick Hagg,LB,,,,,,,,7.0,,3.4,,,,,,,,,,,,,,,,24.0,,,,12.0,,,,,,,,12.0,,2.5,,,,7.0
pat-clark,Pat Clark,K,,0.0,0.0,,0.0,,,5.0,,8.0,,,,,,,,,,,,,5.0,,,4.0,-8.0,0.0,0.0,4.0,-3.2,2.0,0.4,,,,,1.0,,0.0,8.0,5.0,63.0,0.0
rashard-smith,Rashard Smith,,,,,,,,,8.0,,11.0,0.0,0.0,11.0,11.0,,,,,,,,,,0.0,0.0,32.0,,,,10.0,,,,,,,,22.0,,11.0,,,,1.4
sean-daniels,Sean Daniels,DL,,,,,,1.0,1.0,8.0,,3.3,,,,,,,,,,,,,,,,26.0,,,,13.0,,,,,0.0,0.0,0.0,13.0,0.0,8.0,,,,36.0
svante-davenport,Svante Davenport,DB,,,,,,,,5.0,,3.0,,,,,,,,,,,,,,,,15.0,,,,3.0,,,,,,,,12.0,,0.0,,,,0.0
tyron-laughinghouse,Tyron Laughinghouse,WR/ATH,,,,,,1.0,0.0,76.0,,6.0,0.0,0.0,4.0,4.0,,,,,,,,,,0.0,0.0,11.0,9.4,32.0,11.0,432.0,61.7,46.0,6.6,-1.0,1.0,3.0,1.0,10.9,-0.4,433.0,,,,61.9
warren-smith,Warren Smith,QB,62.1,,,,,11.0,5.0,24.0,9.0,1.0,,,,,269.0,167.0,42.0,5.8,134.8,25.0,1561.0,195.1,,,,1.0,,,,4.0,,,,0.4,28.0,38.0,4.0,17.0,2.1,17.0,,,,2.1
zack-mesday,Zack Mesday,FB/LB,,,,,,,,6.0,,2.5,,,,,,,,,,,,,,,,15.0,,,,11.0,,,,,,,,4.0,,1.0,,,,6.0
