player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
a-bosch,A Bosch,,19.0,2.0,0.0,2.0,13.0,0.0,,,,,,,,1.0
aiman-anwer,Aiman Anwer,,,,,,,,12.0,0.0,0.0,11.0,0.0,0.0,,1.0
aliya-riaz,Aliya Riaz,,1.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,1.0
anam-amin,Anam Amin,,,,,,,,24.0,0.0,0.0,14.0,2.0,0.0,,1.0
ayesha-naseem,Ayesha Naseem,,4.0,0.0,0.0,5.0,2.0,0.0,,,,,,,,1.0
ayesha-zafar,Ayesha Zafar,,23.0,3.0,0.0,1.0,19.0,0.0,,,,,,,,1.0
diana-baig,Diana Baig,,,,,,,,12.0,0.0,0.0,9.0,0.0,1.0,,1.0
f-tunnicliffe,F Tunnicliffe,,6.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,1.0
javeria-khan,Javeria Khan,,50.0,5.0,1.0,2.0,56.0,0.0,,,,,,,,1.0
kainat-imtiaz,Kainat Imtiaz,,24.0,2.0,0.0,7.0,29.0,0.0,,,,,,,,1.0
l-goodall,L Goodall,,13.0,0.0,0.0,5.0,11.0,0.0,,,,,,,,1.0
m-kapp,M Kapp,,4.0,0.0,0.0,3.0,1.0,0.0,24.0,0.0,0.0,20.0,0.0,0.0,,1.0
m-klaas,M Klaas,,,,,,,,24.0,0.0,0.0,40.0,1.0,0.0,,1.0
m-du-preez,M du Preez,,23.0,3.0,1.0,4.0,24.0,0.0,,,,,,,,1.0
muneeba-ali,Muneeba Ali,,4.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,1.0
n-shangase,N Shangase,,,,,,,,24.0,1.0,0.0,20.0,3.0,0.0,,1.0
nashra-sandhu,Nashra Sandhu,,,,,,,,15.0,0.0,1.0,18.0,0.0,0.0,,1.0
nida-dar,Nida Dar,,14.0,1.0,0.0,4.0,18.0,1.0,12.0,0.0,1.0,13.0,1.0,2.0,,1.0
s-ismail,S Ismail,,,,,,,,24.0,0.0,0.0,29.0,0.0,0.0,,1.0
s-jafta,S Jafta,,,,,,,,,,,,,,1.0,1.0
s-luus,S Luus,,12.0,0.0,1.0,6.0,10.0,0.0,,,,,,,,1.0
ts-sekhukhune,TS Sekhukhune,,,,,,,,24.0,0.0,0.0,15.0,2.0,0.0,,1.0
