player_id,player_name,positions,fg_made,pass_td,pat_made,recv_td,rush_td
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,1.0,,,,
cameron-hunt-ii,Cameron Hunt II,LB,,,,1.0,
charles-baker,Charles Baker,OL,,,,,1.0
chris-perry,Chris Perry,DB,,,,1.0,
deanthony-hall-steele,Deanthony  Hall-Steele,RB,,,,1.0,
giovanni-sanders,Giovanni Sanders,QB,,1.0,,,
kye-black,Kye Black,LB,,3.0,1.0,,2.0
marco-lee,Marco Lee,RB,,,1.0,,
michael-miller,Michael Miller,DB,,,,,2.0
quantaye-battle,Quantaye Battle,DB,,,,1.0,
