player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
andrew-sjogren,Andrew Sjogren,P,,,,,,1.0,,,1.0,,,1.0,,
asher-lantz,Asher Lantz,P,1.0,,,6.0,,,1.0,,,,,2.0,114.0,
benjamin-preiss,Benjamin Preiss,P,,2.0,,,,2.0,,,,,,,,
bryan-walsh,Bryan Walsh,P,,1.0,,,,,1.0,,,,,,,
cal-tornabene,Cal Tornabene,P,,1.0,,,,,1.0,1.0,,,,,,
carson-chamberlain,Carson Chamberlain,P,1.0,,,,,,,,,,,2.0,,
charlie-furse,Charlie Furse,P,1.0,,,,,,,,,,,1.0,,
chris-ellis,Chris Ellis,P,,,,,,1.0,,1.0,,,,,,
colin-beauregard,Colin Beauregard,P,,1.0,,,,,,,,,,,,
colin-fremeau,Colin Fremeau,P,,,,,,,,,,,,1.0,,
daniel-robinson,Daniel Robinson,P,,1.0,,,,,,,,,,,,
dex-dremann,Dex Dremann,P,2.0,,,,,,,,,,,,,
didzis-malderis,Didzis Malderis,P,,1.0,,,,,1.0,,,2.0,,,,
dylan-hall,Dylan Hall,P,,,,,,,,,,,,2.0,,
ian-falck,Ian Falck,P,,,,,,,1.0,,,,,,,
jace-bruner,Jace Bruner,P,,3.0,,,,,,,,,,4.0,,
jack-havey,Jack Havey,P,,,,,,,,,1.0,,,,,
jack-shanahan,Jack Shanahan,P,1.0,,,29.0,27.0,,1.0,4.0,1.0,1.0,29.0,1.0,282.0,168.0
jake-kenniv,Jake Kenniv,P,,2.0,,,,,,,,,,,,
joe-simonelli,Joe Simonelli,P,,,,,,,,,,,,1.0,,
john-jones,John Jones,P,,1.0,,4.0,4.0,,,,,,4.0,,26.0,26.0
joseph-cubitt,Joseph Cubitt,P,,,,,,1.0,1.0,,,,,,,
matt-gubernick,Matt Gubernick,P,,,,,,,,,,1.0,,,,
nathan-ploeger,Nathan Ploeger,P,,1.0,,,,,,,,2.0,1.0,,,
nicholas-betsch,Nicholas Betsch,P,,,,,,1.0,,,,,,,,
nico-lake,Nico Lake,P,,1.0,,,,,,,,,,2.0,,
reid-martin,Reid Martin,P,1.0,,,14.0,16.0,1.0,,,,,16.0,,35.0,96.0
robbie-davenport,Robbie Davenport,P,,,,,,,,,,,,1.0,,
terry-gaither,Terry Gaither,P,,1.0,,,,,,,,,,,,
trevor-polisuk-balfour,Trevor Polisuk-Balfour,P,1.0,,,,,,,,,,,1.0,,
tyler-mitchuson,Tyler Mitchuson,P,,,1.0,,,,1.0,,,,,,,
vedant-sachdeva,Vedant Sachdeva,P,,,,,,,,,,,,1.0,,
zach-kieffer,Zach Kieffer,P,,,,4.0,4.0,,,1.0,,,4.0,,33.0,40.0
