player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_kr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DL/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron-grymes,Aaron Grymes,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braden-schram,Braden Schram,OL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-rutley,Brandon Rutley,RB,,,,,,,,,,,,,,,,16.0,2.0,3.0,,13.0,14.0,,,,,,,13.0,14.0,,73.0,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,,,,39.0,8.0,11.0,,48.0,106.0,,,,,,,,,,,,,,,,,,,,,
cameron-judge,Cameron Judge,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DL/DB,,,3.0,10.0,10.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,LB/DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claudell-louis,Claudell Louis,DT/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,23.0,17.0,2.0,,,,2.0,278.0,,,,,,,,,,,,,8.0,19.0,1.0,53.0,,,6.0,1.0,1.0,,,,,,
cory-watson,Cory Watson,WR,,,,1.0,1.0,,,,,,,,,,,20.0,4.0,4.0,,18.0,38.0,,,,,,,,,,,,,,,,,,,,,
david-mackie,David Mackie,FB/RB,,,,,,,,,,,,,,,,7.0,1.0,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DT/DB,1.0,21.0,,1.0,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derrick-moncrief,Derrick Moncrief,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,,,,,,,,,,,,,,,24.0,7.0,8.0,,21.0,65.0,,,,,,,,,,,,,,,,,,,,,
earl-okine,Earl Okine,LB/DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed-gainey,Ed Gainey,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emmanuel-arceneaux,Emmanuel Arceneaux,WR/SB,,,,,,,,,,,,,,,,5.0,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
gabriel-ferraro,Gabriel Ferraro,K,,,,,,,,,,,,,,,,,,,,,,67.0,6.0,6.0,93.0,,365.0,,,,,,,4.0,,,,,,4.0,4.0,4.0
garry-peters,Garry Peters,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,,,,,15.0,3.0,3.0,1.0,18.0,26.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
john-white,John White,RB,,,,,,,,,,,,,,,,13.0,3.0,3.0,,21.0,25.0,,,,,,,3.0,8.0,,17.0,,,,,,,,,,,
jon-ryan,Jon Ryan,P,,,,,,,,,,,,,,,,,,,,,,77.0,5.0,,,,293.0,,,,,,,2.0,,,,,,,,
jordan-herdman,Jordan Herdman,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-bartel,Josh Bartel,P/K,,,,,,,,,,,,,,,,,,,,,,48.0,3.0,3.0,12.0,,122.0,,,,,,,,,,,,,,,
korey-toomer,Korey Toomer,LB/DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
