player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
b-stanlake,B Stanlake,,,,,,,,12.0,0.0,0.0,9.0,0.0,1.0,1.0
bj-webster,BJ Webster,,,,,,,,6.0,0.0,0.0,6.0,0.0,0.0,1.0
babar-azam,Babar Azam,,14.0,1.0,1.0,1.0,9.0,0.0,,,,,,,1.0
rp-meredith,RP Meredith,,,,,,,,12.0,0.0,0.0,14.0,0.0,0.0,1.0
spd-smith,SPD Smith,,16.0,1.0,1.0,2.0,19.0,1.0,,,,,,,1.0
