player_id,player_name,positions,blocked_punt,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
abram-smith,Abram Smith,RB,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,34.0,,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,,,,0.0,0.0,0.0,,,,
briley-moore,Briley Moore,TE,,,,,,,,,,,,,,1.0,45.0,3.0,,,,
cam-camper,Cam Camper,WR,,,,,,,,,,,,,,1.0,93.0,3.0,,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,,,1.0,46.0,4.0,,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,,,,0.0,70.0,5.0,,,,
defenders-dst,Defenders DST,DST,,,,,,2.0,,0.0,,,,,23.0,,,,,,2.0,
defenders-k,Defenders K,K/QB,,,,,95.0,,2.0,,,2.0,1.0,165.0,,,,,0.0,116.0,,
deon-jackson,Deon Jackson,RB,,1.0,,,,,,,,,,,,0.0,5.0,1.0,0.0,38.0,,
elijah-dotson,Elijah Dotson,RB,,,,,,,,,1.0,,,,,,,,0.0,25.0,,
elijhah-badger,Elijhah Badger,WR,,,,,,,,,,,,,,0.0,52.0,3.0,,,,
erik-ezukanma,Erik Ezukanma,WR,,,,,,,,,,,,,,0.0,15.0,2.0,,,,
jack-plummer,Jack Plummer,QB,,,,,,,0.0,,,,2.0,203.0,,,,,0.0,19.0,,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,1.0,,,,,0.0,-3.0,1.0,0.0,33.0,,
jason-bean,Jason Bean,QB,,,,,,,2.0,,,,1.0,165.0,,,,,0.0,116.0,,
matt-mccrane,Matt McCrane,K,,,,,95.0,,,,,2.0,,,,,,,,,,
michael-lantz,Michael Lantz,K,,,,3.0,76.0,,,,,1.0,,,,,,,,,,
orlando-storm-dst,ORLANDO STORM DST,DST,1.0,,1.0,,,1.0,,2.0,,,,,23.0,,,,,,0.0,1.0
orlando-storm-k,ORLANDO STORM K,K,,,,3.0,76.0,,,,,1.0,,,,,,,,,,
orlando-storm-qb,ORLANDO STORM QB,QB,,,,,,,0.0,,,,2.0,203.0,,,,,0.0,20.0,,
sam-wiglusz,Sam Wiglusz,WR,,,,,,,,,,,,,,0.0,0.0,0.0,,,,
shawn-bowman,Shawn Bowman,TE,,,,,,,,,,,,,,0.0,2.0,1.0,,,,
steven-stilianos,Steven Stilianos,TE,,,,,,,,,,,,,,0.0,13.0,1.0,,,,
ty-scott,Ty Scott,WR,,,,,,,,,,,,,,0.0,30.0,1.0,,,,
xazavian-valladay,Xazavian Valladay,RB,,,,,,,,,1.0,,,,,0.0,0.0,0.0,1.0,31.0,,
