player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
antoine-rousseau,Antoine Rousseau,P,,,6.0,5.0,,,,,4.0,,6.0,1.0,64.0,19.0
benjamin-sadok,Benjamin Sadok,P,2.0,,23.0,27.0,,,,,,,31.0,4.0,46.0,235.0
brandon-adibe,Brandon Adibe,P,,,1.0,,,,,,,,1.0,1.0,2.0,
brendan-mccann,Brendan McCann,P,1.0,1.0,12.0,14.0,,1.0,,,13.0,,17.0,2.0,23.0,85.0
chris-bartoli,Chris Bartoli,P,,,4.0,3.0,,1.0,,,,,3.0,,53.0,7.0
christophe-tremblay-joncas,Christophe Tremblay-Joncas,P,,,11.0,11.0,,1.0,2.0,,,,11.0,,160.0,52.0
desmond-staples,Desmond Staples,P,,,1.0,3.0,,,,,,,3.0,,-7.0,15.0
dylan-lacombe-burgoyne,Dylan Lacombe-Burgoyne,P,,,24.0,32.0,,,4.0,3.0,,,34.0,1.0,36.0,317.0
eliott-heloir,Eliott Heloir,P,,1.0,2.0,7.0,,,1.0,1.0,6.0,,8.0,1.0,-3.0,166.0
gabe-colton,Gabe Colton,P,1.0,1.0,1.0,2.0,,,,,1.0,,2.0,,42.0,22.0
gustav-haflin,Gustav Haflin,P,,,3.0,3.0,,,1.0,,,,3.0,,35.0,-10.0
ian-wallace,Ian Wallace,P,1.0,,4.0,2.0,,,,,,,4.0,2.0,51.0,14.0
ivan-tran,Ivan Tran,P,,,6.0,4.0,1.0,1.0,1.0,,,,4.0,,53.0,18.0
jacob-duquette,Jacob Duquette,P,1.0,1.0,7.0,5.0,,1.0,,,1.0,,5.0,,79.0,36.0
jake-taylor,Jake Taylor,P,1.0,,9.0,12.0,,,,,,,14.0,2.0,40.0,52.0
julien-bernat,Julien Bernat,P,,,,1.0,,,,,,,1.0,,,-11.0
kevin-quinlan,Kevin Quinlan,P,3.0,,15.0,13.0,,2.0,1.0,1.0,,,15.0,2.0,111.0,82.0
kuochuan-ponzio,Kuochuan Ponzio,P,,,2.0,2.0,,,1.0,,,,2.0,,14.0,2.0
malik-auger-semmar,Malik Auger-Semmar,P,3.0,1.0,29.0,22.0,,2.0,,1.0,,,28.0,6.0,233.0,182.0
martin-gallant,Martin Gallant,P,,1.0,2.0,2.0,1.0,,,1.0,,,2.0,,1.0,51.0
melvyn-brichet,Melvyn Brichet,P,1.0,,9.0,8.0,,,,,,,9.0,1.0,166.0,35.0
nathanial-dick,Nathanial Dick,P,2.0,,17.0,18.0,,1.0,1.0,1.0,,,19.0,1.0,12.0,160.0
orion-cable,Orion Cable,P,2.0,,9.0,5.0,,3.0,2.0,2.0,,1.0,5.0,,160.0,116.0
phillip-joyce,Phillip Joyce,P,,1.0,1.0,1.0,,,,,,,2.0,1.0,15.0,-3.0
ray-tetreault,Ray Tetreault,P,,,5.0,5.0,,1.0,1.0,,,,5.0,,66.0,52.0
rocco-linehan,Rocco Linehan,P,2.0,1.0,14.0,17.0,,,2.0,,1.0,,18.0,1.0,56.0,129.0
simon-carapella,Simon Carapella,P,2.0,,10.0,6.0,,4.0,,,,,6.0,,220.0,57.0
tanner-halkyard,Tanner Halkyard,P,,1.0,4.0,3.0,,,1.0,,,,4.0,1.0,49.0,17.0
thomas-lalonde-landry,Thomas Lalonde-Landry,P,,1.0,3.0,1.0,,1.0,,,,,2.0,1.0,-3.0,-8.0
topher-davis,Topher Davis,P,,,6.0,7.0,,,1.0,,,,8.0,1.0,48.0,54.0
turner-allen,Turner Allen,P,,2.0,3.0,3.0,,,,,,,3.0,,26.0,24.0
tyler-chan,Tyler Chan,P,,1.0,12.0,10.0,,1.0,1.0,1.0,,,11.0,1.0,83.0,77.0
william-st-pierre,William St-Pierre,P,,1.0,11.0,8.0,,4.0,,,,,8.0,,174.0,16.0
