player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-davis,Aj Davis,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.5,2.0,,
anthony-jacobsen,Anthony Jacobsen,LB,,,,,,,,,,5.0,51.9,2.0,2.0,415.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0
antonio-hill,Antonio Hill,DB,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,4.0,,,,
bemnet-morgan,Bemnet Morgan,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.5,1.0,,
brandon-scott,Brandon Scott,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,
brandon-sheperd,Brandon Sheperd,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,
cam-hale-ii,Cam Hale II,RB,,,,,,,,,1.0,,,,,,,6.0,6.0,0.0,6.0,,,,,,,,5.8,11.0,0.0,35.0,6.0,,,,,,,,,,,,,
desmond-grace,Desmond Grace,DB,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,11.0,,,,
devond-blair-jr,Devond Blair Jr.,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.5,0.0,2.0,1.0,4.0,,
everitt-cunningham,Everitt Cunningham,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
giovanni-sanders,Giovanni Sanders,QB,,,,,,,,,1.0,,,,,,,24.0,24.0,0.0,24.0,,,,,,,,-2.0,0.0,0.0,-2.0,1.0,10.0,45.0,5.0,1.0,50.0,,,,,,,,
greg-conry,Greg Conry,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.5,2.0,,
isaiah-blackmon,Isaiah Blackmon,DL,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,7.0,,,,
jack-robinson,Jack Robinson,DL,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,3.0,4.0,2.0,14.0,,
jai-jones,Jai Jones,LB,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,
jarvai-flowers,Jarvai Flowers,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
jayvon-johnson,Jayvon Johnson,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,9.0,0.0,16.0,3.0,4.6,10.0,11.0,4.0,51.0,,,,,,,,
jazzir-merricks,Jazzir Merricks,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.5,5.0,8.0,2.5,12.0,,
josh-batiste,Josh Batiste,RB,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
justin-clarkson,Justin Clarkson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,40.0,1.0,86.0,4.0,,,,,,,,1.0,1.0,,,,
kaleb-lowe,Kaleb Lowe,QB,2.0,,,,,,,,3.0,,,,,,,10.7,14.0,0.0,32.0,,,,,,,,7.8,12.0,3.0,47.0,6.0,5.0,5.0,1.0,0.0,5.0,,,0.0,2.0,,,,
kaleb-macaway,Kaleb Macaway,WR,,,,,,,,,4.0,,,,,,,12.0,17.0,0.0,48.0,,,,,,,,6.0,6.0,0.0,6.0,1.0,,,,,,,,,,,,,
khalil-trotman,Khalil Trotman,QB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,,,
kyler-henson,Kyler Henson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,15.0,1.0,46.0,4.0,,,,,,,,,,,,,
ponce-deleon,Ponce Deleon,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
rashad-flanders,Rashad Flanders,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,15.0,0.0,47.0,4.0,,,,,,,,,,,,,
rashard-budd,Rashard Budd,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,0.0,10.0,2.0,,,,,,,,,,,,,
raymond-alexander,Raymond Alexander,DL,0.0,4.0,0.0,0.0,,,,,,6.0,51.5,1.0,1.0,309.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,6.0,6.0
sam-moala,Sam Moala,LB,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,,
shahuan-williams,Sha'huan Williams,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
shaun-mcgee,Shaun Mcgee,DL,,,,,,2.0,0.0,0.0,,,,,,,,,,,,22.0,18.0,,15.0,1.0,150.0,,,,,,,4.0,10.0,10.0,0.0,40.0,,,,,,,,
