player_id,player_name,positions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
abram-smith,Abram Smith,RB,,,,,,,,,18.0,1.0,1.0,66.0,,
alex-ellis,Alex Ellis,TE,,,,,,,,1.0,14.0,1.0,,,,
alijah-holder,Alijah Holder,FS/DB/S,,,,,1.0,,,,,,,,,4.0
anthony-hines,Anthony Hines,LB,,,,,,,,,,,,,,5.0
antoine-brooks,Antoine Brooks,CB/DB,,,,,1.0,,,,,,,,,4.0
antwuan-jackson,Antwuan Jackson,DL/DT,,,,,,,,,,,,,,4.0
austin-faoliu,Austin Faoliu,DL/DT,1.0,,,,,,,,,,,,,1.0
ben-dinucci,Ben DiNucci,QB,,1.0,,,,3.0,301.0,,,,,23.0,,
blake-jackson,Blake Jackson,WR,,,,,,,,,53.0,4.0,,,,
charlie-taumoepeau,Charlie Taumoepeau,TE,,,,,,,,,6.0,1.0,,,,
chris-blair,Chris Blair,WR,,,,,,,,1.0,148.0,5.0,,,,
chris-jones,Chris Jones,DB/DT,,,,,,,,,,,,,,2.0
clarence-hicks,Clarence Hicks,DL/LB,,,,,,,,,,,,,1.0,3.0
deriq-king,D\'Eriq King,QB,,,,1.0,,,,,,,,-1.0,,
damion-willis,Damion Willis,WR,,,,,,,,,12.0,3.0,,,,
dejuan-neal,DeJuan Neal,CB/DB,,,,,,,,,,,,,,2.0
defenders-dst,Defenders DST,DST,,,1.0,,,,,,,,,,,
defenders-qb,Defenders QB,QB,,,,2.0,,4.0,247.0,,,,,12.0,,
ethan-wolf,Ethan Wolf,TE,,,,,,,,,10.0,1.0,,,,
fadol-brown,Fadol Brown,DL/DE/DT,,,,,,,,,,,,,,1.0
francis-bernard,Francis Bernard,LB,,,,,1.0,,,,,,,,,5.0
jacub-panasiuk,Jacub Panasiuk,DL,,,,,,,,,,,,,,1.0
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,1.0,34.0,5.0,,,,
jamal-brooks,Jamal Brooks,LB,,,,,,,,,,,,,,1.0
jarrell-owens,Jarrell Owens,DL,,,,,,,,,,,,,,1.0
jordan-taamu,Jordan Ta\'amu,QB,,,,1.0,,4.0,247.0,,-2.0,1.0,,13.0,,
joseph-wallace,Joseph Wallace,DL/DT,,,1.0,,1.0,,,,,,,,,3.0
josh-gordon,Josh Gordon,WR,,,,,,,,,39.0,4.0,,,,1.0
josh-hammond,Josh Hammond,WR,,,,,,,,,12.0,2.0,,,,
juwan-green,Juwan Green,WR,,,,,,,,2.0,142.0,7.0,,,,
kentrell-brice,Kentrell Brice,SAF/DB,,,,,,,,,,,,,,2.0
linden-stephens,Linden Stephens,DB,,,,,,,,,,,,,,5.0
lucky-jackson,Lucky Jackson,WR,,,,,,,,,23.0,3.0,,,,
michael-joseph,Michael Joseph,CB/DB,,,,,2.0,,,,,,,,,6.0
niko-lalos,Niko Lalos,DL/DE,,,,,,,,,,,,,,5.0
phillip-lindsay,Phillip Lindsay,RB,,,,,,,,,6.0,2.0,1.0,23.0,,
qwynnterrio-cole,Qwynnterrio Cole,FS/DB,,,,,,,,,,,,,,8.0
ryquell-armstead,Ryquell Armstead,RB,,,,,,,,1.0,11.0,1.0,,9.0,,
santos-ramirez,Santos Ramirez,SAF/DB,,,,,,,,,,,,,,4.0
sea-dragons-dst,Sea Dragons DST,DST,2.0,,,,,,,,,,,,2.0,
sea-dragons-qb,Sea Dragons QB,QB,,1.0,,,,3.0,301.0,,,,,23.0,,
tj-hammonds,T.J. Hammonds,WR,,,,,,,,,9.0,2.0,,7.0,,
travon-fuller,Travon Fuller,DB,,,,,,,,,,,,,,2.0
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,,0.5,8.0
tuzar-skipper,Tuzar Skipper,OLB/LB,,,,,,,,,,,,,,2.0
