player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
adam-turcotte,Adam Turcotte,P,,,18.0,17.0,,,,1.0,,,20.0,3.0,46.0,132.0
antoine-dube,Antoine Dubé,P,,,3.0,1.0,,1.0,,,,,2.0,1.0,47.0,8.0
antoine-rousseau,Antoine Rousseau,P,1.0,,2.0,6.0,,,,,,,7.0,1.0,-2.0,40.0
brandon-adibe,Brandon Adibe,P,1.0,,3.0,2.0,,,,,,,3.0,1.0,49.0,20.0
chris-chan,Chris Chan,P,,1.0,5.0,4.0,,,,,,,5.0,1.0,-2.0,43.0
christophe-tremblay-joncas,Christophe Tremblay-Joncas,P,,2.0,4.0,3.0,,,,,13.0,1.0,4.0,1.0,6.0,22.0
dax-miller,Dax Miller,P,,,6.0,6.0,,,,1.0,,,8.0,2.0,8.0,59.0
dylan-lacombe-burgoyne,Dylan Lacombe-Burgoyne,P,1.0,2.0,19.0,24.0,,,3.0,1.0,,,28.0,4.0,90.0,218.0
eliott-heloir,Eliott Heloir,P,1.0,,5.0,7.0,,,,,1.0,,8.0,,-3.0,18.0
felix-leonard,Felix Leonard,P,,,1.0,1.0,,,,,,,1.0,,4.0,12.0
geoff-bevan,Geoff Bevan,P,,,12.0,12.0,,,1.0,,4.0,,16.0,4.0,20.0,159.0
griffin-mckee,Griffin McKee,P,1.0,2.0,10.0,12.0,,,1.0,,,,13.0,1.0,50.0,56.0
jack-park,Jack Park,P,,,1.0,,,,,,,,1.0,,34.0,
jacob-duquette,Jacob Duquette,P,,,3.0,1.0,1.0,1.0,,,,,3.0,2.0,23.0,3.0
james-lewis,James Lewis,P,3.0,2.0,19.0,18.0,,2.0,,1.0,,,20.0,2.0,228.0,166.0
keith-mcrae,Keith McRae,P,,,4.0,4.0,,1.0,,,,,5.0,1.0,69.0,-15.0
kelvin-huang,Kelvin Huang,P,1.0,,9.0,8.0,,,,1.0,,,9.0,1.0,34.0,53.0
kevin-jay,Kevin Jay,P,,1.0,3.0,3.0,,,,,,,4.0,1.0,14.0,19.0
kevin-quinlan,Kevin Quinlan,P,1.0,,5.0,5.0,,1.0,,,,,6.0,1.0,31.0,29.0
luc-comire,Luc Comire,P,1.0,,22.0,29.0,,1.0,1.0,,,,31.0,2.0,122.0,324.0
malik-auger-semmar,Malik Auger-Semmar,P,3.0,1.0,26.0,18.0,,2.0,2.0,1.0,,,24.0,6.0,253.0,225.0
martin-gallant,Martin Gallant,P,,,3.0,4.0,,,1.0,2.0,,,4.0,,33.0,112.0
max-ayad,Max Ayad,P,,,1.0,,,,,,,,,,8.0,
melvyn-brichet,Melvyn Brichet,P,3.0,2.0,13.0,10.0,1.0,,2.0,1.0,,,15.0,5.0,136.0,113.0
mike-mackenzie,Mike Mackenzie,P,1.0,2.0,18.0,13.0,1.0,3.0,3.0,,1.0,,17.0,4.0,338.0,134.0
oscar-stonehouse,Oscar Stonehouse,P,,2.0,9.0,7.0,,,2.0,,,,8.0,1.0,146.0,38.0
owen-robinson,Owen Robinson,P,,2.0,6.0,12.0,,,,,,,14.0,2.0,-12.0,55.0
rui-carvalho,Rui Carvalho,P,,1.0,3.0,2.0,,1.0,,,6.0,,2.0,,-17.0,27.0
ryan-poloz,Ryan Poloz,P,5.0,1.0,19.0,27.0,,1.0,2.0,,,,28.0,1.0,63.0,196.0
simon-walker,Simon Walker,P,,,4.0,5.0,,,,,,,5.0,,37.0,60.0
travis-puckrin,Travis Puckrin,P,,,3.0,2.0,,,,,,,3.0,1.0,23.0,-1.0
ty-barbieri,Ty Barbieri,P,2.0,,18.0,13.0,,3.0,2.0,1.0,,,15.0,2.0,309.0,77.0
wilkie-lewis,Wilkie Lewis,P,1.0,1.0,11.0,8.0,,3.0,1.0,1.0,,,8.0,,103.0,135.0
william-st-pierre,William St-Pierre,P,,,13.0,8.0,,3.0,,,,,10.0,1.0,356.0,-13.0
zachary-armstrong,Zachary Armstrong,P,,,2.0,1.0,,,,,6.0,,1.0,,75.0,-7.0
