player_id,player_name,positions,def_ast,def_solo,def_tot,recv_fd,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds
greg-milhouse,Greg Milhouse,DB,1.0,1.0,2.0,,,,,,
kadron-boone,Kadron Boone,WR,,,,1.0,11.0,1.0,2.0,7.0,11.0
