player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,0.0,0.0,0.0,0.0,11.0,
bt-potter,B.T. Potter,K,,,45.0,,,,,,,,,,,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,,0.0,23.0,1.0,,,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,1.0,31.0,3.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,1.0,,,,,,,0.0,0.0,0.0,,,
bryce-perkins,Bryce Perkins,QB,2.0,,,0.0,,2.0,188.0,,,,,1.0,76.0,
chris-rowland,Chris Rowland,WR,,,,,,,,,1.0,144.0,9.0,,,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,1.0,63.0,3.0,,,
danny-etling,Danny Etling,QB,,,,,,,,,,,,0.0,-1.0,
defenders-dst,Defenders DST,DST,,,,,0.0,,,38.0,,,,,,0.0
defenders-k,Defenders K,K/QB,,1.0,,0.0,,2.0,259.0,,,,,0.0,17.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,0.0,0.0,1.0,0.0,47.0,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,0.0,41.0,2.0,,,
jalen-wydermyer,Jalen Wydermyer,TE,,,,,,,,,0.0,0.0,0.0,,,
javon-antonio,Javon Antonio,WR,,,,,,,,,0.0,35.0,2.0,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,0.0,26.0,3.0,,,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,0.0,23.0,1.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,1.0,,0.0,,2.0,259.0,,,,,0.0,17.0,
malik-turner,Malik Turner,WR,1.0,,,,,,,,1.0,34.0,4.0,,,
nate-mccrary,Nate McCrary,RB,1.0,1.0,,,,,,,0.0,8.0,1.0,1.0,44.0,
panthers-dst,Panthers DST,DST,,,,,0.0,,,14.0,,,,,,1.0
panthers-k,Panthers K,K,,,45.0,,,,,,,,,,,
panthers-qb,Panthers QB,QB,2.0,,,0.0,,2.0,188.0,,,,,1.0,75.0,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,0.0,19.0,2.0,,,
toa-taua,Toa Taua,RB,,,,,,,,,,,,1.0,94.0,
