player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
andrew-meshnick,Andrew Meshnick,P,1.0,1.0,,7.0,7.0,,,,,,8.0,1.0,75.0,10.0
anthony-gutowsky,Anthony Gutowsky,P,,,,8.0,1.0,,6.0,,,,2.0,1.0,145.0,12.0
avery-johnson,Avery Johnson,P,4.0,,,8.0,8.0,,,,,,8.0,,107.0,50.0
ben-close,Ben Close,P,,1.0,,3.0,1.0,,1.0,,,,1.0,,31.0,20.0
ben-landry,Ben Landry,P,1.0,,,40.0,38.0,,1.0,2.0,,,40.0,2.0,221.0,127.0
brian-hart,Brian Hart,P,1.0,1.0,,33.0,32.0,,3.0,3.0,1.0,,32.0,,211.0,140.0
cam-copeland,Cam Copeland,P,1.0,,,10.0,9.0,,,,1.0,7.0,11.0,2.0,91.0,50.0
cameron-brock,Cameron Brock,P,,,,24.0,22.0,,2.0,1.0,,,22.0,,243.0,61.0
carter-rae,Carter Rae,P,3.0,1.0,,42.0,46.0,,1.0,5.0,,,47.0,1.0,153.0,281.0
conner-henderson,Conner Henderson,P,2.0,,,9.0,9.0,,,2.0,1.0,,9.0,,61.0,117.0
daniel-garlock,Daniel Garlock,P,1.0,,,13.0,14.0,,1.0,,,5.0,14.0,,45.0,41.0
eric-blais,Eric Blais,P,,,,9.0,10.0,,,3.0,,16.0,10.0,,60.0,-8.0
fletcher-hare,Fletcher Hare,P,,,,2.0,2.0,,,,,2.0,2.0,,27.0,13.0
henry-goldenberg,Henry Goldenberg,P,3.0,1.0,,46.0,51.0,,1.0,1.0,1.0,,54.0,3.0,127.0,275.0
jacob-fella,Jacob Fella,P,,1.0,,3.0,4.0,,,1.0,,,4.0,,25.0,5.0
jacob-wham,Jacob Wham,P,1.0,,,4.0,4.0,,,,,,4.0,,14.0,12.0
jake-carrico,Jake Carrico,P,,1.0,1.0,2.0,2.0,,1.0,1.0,,,2.0,,-7.0,39.0
jeremy-branson,Jeremy Branson,P,,,,12.0,15.0,,,1.0,,,15.0,,-5.0,119.0
jeremy-keusch,Jeremy Keusch,P,1.0,,,23.0,16.0,,4.0,2.0,,,19.0,2.0,271.0,103.0
joe-leibforth,Joe Leibforth,P,1.0,,,2.0,2.0,,,,,,2.0,,20.0,30.0
joey-cari,Joey Cari,P,,1.0,,15.0,15.0,,2.0,1.0,,,15.0,,20.0,95.0
joshua-wilson,Joshua Wilson,P,1.0,,,25.0,23.0,,1.0,1.0,,1.0,25.0,1.0,62.0,141.0
kai-delorenzo,Kai DeLorenzo,P,2.0,,,16.0,14.0,,1.0,2.0,,,16.0,2.0,117.0,103.0
keegan-north,Keegan North,P,2.0,2.0,,7.0,8.0,,1.0,,,,8.0,,57.0,52.0
kelsen-alexander,Kelsen Alexander,P,1.0,1.0,,9.0,11.0,1.0,1.0,,,,12.0,1.0,-10.0,83.0
levi-jacobs,Levi Jacobs,P,3.0,,,21.0,17.0,,4.0,1.0,1.0,,17.0,,312.0,190.0
lucas-coniaris,Lucas Coniaris,P,,,,11.0,8.0,,2.0,,,,9.0,1.0,128.0,-12.0
luke-marks,Luke Marks,P,,1.0,,6.0,5.0,,2.0,1.0,,,5.0,,70.0,8.0
nick-hutton,Nick Hutton,P,1.0,2.0,,6.0,7.0,,,,,12.0,8.0,1.0,-8.0,17.0
nico-ranabhat,Nico Ranabhat,P,,1.0,,3.0,2.0,,1.0,,,,3.0,1.0,45.0,-2.0
rick-gross,Rick Gross,P,3.0,,,34.0,32.0,1.0,1.0,2.0,,,33.0,1.0,287.0,121.0
sam-stark,Sam Stark,P,1.0,1.0,,9.0,9.0,,1.0,,,,9.0,,59.0,57.0
seth-gudeman,Seth Gudeman,P,1.0,1.0,,1.0,3.0,,,,1.0,,3.0,,14.0,27.0
ted-schewe,Ted Schewe,P,1.0,,,37.0,35.0,,,1.0,,,37.0,2.0,212.0,124.0
thomas-coolidge,Thomas Coolidge,P,,,,17.0,17.0,,,5.0,,,17.0,,151.0,85.0
travis-carpenter,Travis Carpenter,P,4.0,1.0,,49.0,63.0,,1.0,2.0,1.0,,63.0,,-102.0,514.0
victor-luo,Victor Luo,P,2.0,,,52.0,59.0,,2.0,2.0,1.0,,61.0,2.0,172.0,476.0
will-wettengel,Will Wettengel,P,,2.0,,4.0,2.0,,2.0,,,,2.0,,79.0,19.0
