player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_ir,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adrian-hubbard,Adrian Hubbard,LB/DE,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-singleton,Alex Singleton,LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-buckley,Andrew Buckley,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,12.0,4.0,6.0,,24.0,27.0,,,,,,10.0,9.0,28.0,,,,,,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,,,,,,7.0,9.0,1.0,52.0,81.0,,,,,,,,,,,1.0,6.0,1.0,,,,,,
bakari-grant,Bakari Grant,WR,,,,,,,,,,,,,,,,33.0,5.0,7.0,,13.0,64.0,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,41.0,29.0,1.0,33.0,,,3.0,310.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
brendan-morgan,Brendan Morgan,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cj-roberts,CJ Roberts,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DB/DL,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-randle,Chris Randle,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darvin-adams,Darvin Adams,WR,,,,,,,,,,,,,,,,45.0,7.0,10.0,,27.0,109.0,,,,,,,,,,,,,,,,,,,
derek-jones,Derek Jones,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deron-mayo,Deron Mayo,LB,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-willy,Drew Willy,QB,,,,,,,,33.0,23.0,1.0,45.0,7.0,1.0,,234.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
