player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-allen,A.J. Allen,LB,,,,0.0,,,,,,,,,,,0.0,2.0
aj-ouellette,A.J. OUELLETTE,RB,,,,,1.0,,,,,,19.0,1.0,0.0,21.0,,
adam-auclair,Adam Auclair,LB,,,,0.0,,,,,,,,,,,0.0,1.0
anthony-lanier-ii,Anthony Lanier II,DB/DL,,,,,,,,,,,,,,,,1.0
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,,,0.0,17.0,3.0,0.0,38.0,,
brandon-alexander,Brandon Alexander,DB,,,,0.0,,,,,,,,,,,0.0,5.0
brett-lauther,Brett LAUTHER,K,4.0,,,,,,,,,,,,,,,
brian-cole,Brian Cole,LB,,,,1.0,,,,,,,,,,,0.0,10.0
bryan-cox-jr,Bryan Cox Jr.,DL,,,,,,,,,,,,,,,,2.0
cj-avery,C.J. Avery,LB,,,,1.0,,,,,,,,,,,0.0,4.0
cj-reavis,C.J. Reavis,DB,,,,0.0,,,,,,,,,,,0.0,6.0
caleb-sanders,Caleb Sanders,DL,,,,,,,,,,,,,,,,5.0
celestin-haba,Celestin Haba,DE,,,,0.0,,,,,,,,,,,0.0,1.0
chris-streveler,Chris STREVELER,QB,,,,,,,,,,,,,0.0,32.0,,
christian-albright,Christian Albright,DL,,,,0.0,,,,,,,,,,,0.0,1.0
clint-ratkovich,Clint Ratkovich,RB,,,,,,,,,,,,,,,,1.0
damarcus-fields,DaMarcus Fields,DB,,,,0.0,,,,,,,,,,,1.0,6.0
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,,,0.0,62.0,5.0,,,,
deatrick-nichols,Deatrick Nichols,CB/DB,,,,0.0,,,,,,,,,,,0.0,1.0
deontai-williams,Deontai Williams,DB,,,,0.0,,,,,,,,,,,0.0,5.0
devin-adams,Devin Adams,DL,,,,0.0,,,,,,,,,,,1.0,4.0
