player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
anne-ohara,Anne O'Hara,,1.0,1.0,0.0,6.0,1.0
delaney-strouse,Delaney Strouse,,1.0,1.0,0.0,6.0,1.0
jiayi-jiang,Jiayi Jiang,,0.0,1.0,1.0,1.0,6.0
madison-bear,Madison Bear,,1.0,1.0,0.0,6.0,1.0
rui-wang,Rui Wang,,0.0,1.0,1.0,1.0,6.0
sydney-mullaney,Sydney Mullaney,,1.0,1.0,0.0,6.0,1.0
taylor-anderson,Taylor Anderson,,1.0,1.0,0.0,6.0,1.0
tingyu-su,Tingyu Su,,0.0,1.0,1.0,1.0,6.0
yu-han,Yu Han,,0.0,1.0,1.0,1.0,6.0
ziqi-dong,Ziqi Dong,,0.0,1.0,1.0,1.0,6.0
