player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-davis,Alex Davis,P,,,,4.0,3.0,,1.0,,,,,3.0,,37.0,7.0
anders-juengst,Anders Juengst,P,2.0,,,35.0,32.0,,1.0,,1.0,,,35.0,3.0,8.0,276.0
andrew-mckelvey,Andrew McKelvey,P,,,,,,,,,,,,1.0,1.0,,
andrew-vande-berg,Andrew Vande Berg,P,,,,1.0,1.0,,,,,,,1.0,,28.0,-7.0
austin-taylor,Austin Taylor,P,2.0,,,28.0,43.0,,,6.0,2.0,,,45.0,2.0,172.0,323.0
billy-obryan,Billy O\'Bryan,P,2.0,,,5.0,7.0,,,1.0,2.0,5.0,,7.0,,13.0,161.0
bobby-ley,Bobby Ley,P,4.0,,,32.0,32.0,,1.0,5.0,2.0,,,33.0,1.0,58.0,248.0
bradley-fleming,Bradley Fleming,P,,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,7.0
bradley-seuntjens,Bradley Seuntjens,P,,1.0,,,1.0,,,,,,,1.0,,,4.0
brett-hulsmeyer,Brett Hulsmeyer,P,4.0,1.0,,26.0,23.0,1.0,2.0,1.0,2.0,,,24.0,1.0,358.0,240.0
christian-olsen,Christian Olsen,P,,,,28.0,30.0,,3.0,2.0,,,,31.0,1.0,46.0,242.0
connor-russell,Connor Russell,P,,,,4.0,2.0,,1.0,,,,,3.0,1.0,92.0,10.0
dean-ramsey,Dean Ramsey,P,1.0,,,6.0,4.0,,2.0,,,12.0,,4.0,,108.0,42.0
elijah-long,Elijah Long,P,,,,45.0,52.0,,1.0,6.0,1.0,,,54.0,2.0,56.0,338.0
ethan-bloodworth,Ethan Bloodworth,P,1.0,,,6.0,7.0,,,,,,,7.0,,46.0,24.0
jp-burns,JP Burns,P,,,,7.0,9.0,,1.0,1.0,,,,10.0,1.0,55.0,4.0
jacob-fairfax,Jacob Fairfax,P,5.0,,,23.0,23.0,,,2.0,3.0,,,23.0,,494.0,196.0
jakeem-polk,Jakeem Polk,P,,,,2.0,,,2.0,,,8.0,,,,101.0,
justin-burnett,Justin Burnett,P,,2.0,,3.0,1.0,,,1.0,,,,2.0,1.0,64.0,9.0
karl-ekwurtzel,Karl Ekwurtzel,P,,2.0,,12.0,10.0,,2.0,1.0,,,,10.0,,181.0,75.0
kennith-taylor,Kennith Taylor,P,,1.0,,3.0,2.0,,1.0,,,,,2.0,,5.0,19.0
liam-haberfield,Liam Haberfield,P,5.0,,,30.0,26.0,,3.0,1.0,2.0,,,28.0,1.0,311.0,211.0
lukas-mcclamrock,Lukas McClamrock,P,1.0,,,10.0,7.0,,2.0,1.0,,,,8.0,1.0,31.0,36.0
matt-smith,Matt Smith,P,2.0,,,16.0,12.0,,4.0,,,,,12.0,,217.0,79.0
matthew-knowles,Matthew Knowles,P,1.0,,,2.0,4.0,,,1.0,,,,4.0,,4.0,27.0
matthew-wilson,Matthew Wilson,P,,,,1.0,,,1.0,,,,,,,26.0,
mike-kobyra,Mike Kobyra,P,1.0,,,3.0,2.0,,,,,,,3.0,1.0,33.0,22.0
sam-gabrielson,Sam Gabrielson,P,,,,1.0,1.0,,,,,,,1.0,,17.0,-4.0
sol-yanuck,Sol Yanuck,P,2.0,,,35.0,45.0,,2.0,2.0,2.0,,,50.0,5.0,82.0,337.0
suraj-madiraju,Suraj Madiraju,P,1.0,,,26.0,21.0,,4.0,3.0,,,1.0,22.0,1.0,360.0,5.0
terrence-mitchell,Terrence Mitchell,P,1.0,,,6.0,4.0,,2.0,,1.0,,,4.0,,152.0,17.0
tobias-brooks,Tobias Brooks,P,1.0,,,5.0,2.0,,3.0,,,,,3.0,1.0,85.0,21.0
trevor-lynch,Trevor Lynch,P,4.0,,,22.0,21.0,,2.0,3.0,2.0,,,23.0,2.0,146.0,363.0
tyler-randall,Tyler Randall,P,,,,5.0,5.0,,,,,,,6.0,1.0,6.0,10.0
walker-matthews,Walker Matthews,P,,,,3.0,3.0,,,1.0,,,,4.0,1.0,34.0,73.0
william-coffin,William Coffin,P,1.0,,,2.0,2.0,,,,1.0,,,2.0,,34.0,41.0
