player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-gravatt,Alex Gravatt,P,,1.0,,4.0,2.0,,2.0,,,,3.0,1.0,70.0,-3.0
andrew-meshnick,Andrew Meshnick,P,,1.0,1.0,4.0,4.0,,1.0,2.0,,,4.0,,8.0,11.0
andrew-sjogren,Andrew Sjogren,P,1.0,,,13.0,10.0,,2.0,,,,11.0,1.0,136.0,22.0
anthony-gutowsky,Anthony Gutowsky,P,1.0,,,6.0,4.0,,2.0,,,,4.0,,172.0,11.0
avery-johnson,Avery Johnson,P,,,,9.0,8.0,1.0,1.0,1.0,,,8.0,,109.0,-12.0
axel-agami,Axel Agami,P,2.0,,,18.0,16.0,,2.0,3.0,,,18.0,1.0,142.0,5.0
benjamin-preiss,Benjamin Preiss,P,,,,14.0,13.0,,3.0,1.0,,,13.0,,64.0,77.0
brian-hart,Brian Hart,P,,,,38.0,35.0,,2.0,,,,37.0,2.0,45.0,104.0
cal-tornabene,Cal Tornabene,P,,,,2.0,3.0,,,,,,3.0,1.0,12.0,6.0
daniel-garlock,Daniel Garlock,P,2.0,,,13.0,13.0,,,,2.0,7.0,15.0,2.0,41.0,150.0
dex-dremann,Dex Dremann,P,1.0,,,6.0,9.0,,,,,9.0,10.0,1.0,14.0,83.0
didzis-malderis,Didzis Malderis,P,,,,2.0,2.0,,1.0,,,,2.0,,12.0,23.0
eric-blais,Eric Blais,P,1.0,,,12.0,10.0,,,2.0,,12.0,12.0,2.0,94.0,36.0
henry-goldenberg,Henry Goldenberg,P,3.0,,,39.0,49.0,,,2.0,1.0,,52.0,2.0,128.0,241.0
jace-bruner,Jace Bruner,P,1.0,2.0,,4.0,3.0,,,2.0,,,3.0,,19.0,5.0
jack-kelly,Jack Kelly,P,,,,9.0,6.0,,2.0,,,,7.0,1.0,74.0,-5.0
jack-shanahan,Jack Shanahan,P,3.0,,,30.0,28.0,,2.0,,,,30.0,,166.0,53.0
jacob-wham,Jacob Wham,P,1.0,,,7.0,6.0,,1.0,1.0,,1.0,6.0,,12.0,17.0
jake-steslicki,Jake Steslicki,P,1.0,3.0,1.0,17.0,19.0,,1.0,1.0,,,19.0,1.0,-41.0,96.0
jesse-johnson,Jesse Johnson,P,1.0,1.0,,5.0,4.0,,,1.0,,,4.0,,58.0,-1.0
joe-leibforth,Joe Leibforth,P,1.0,,,5.0,4.0,,1.0,,,,4.0,,18.0,-8.0
john-jones,John Jones,P,,1.0,,1.0,,,1.0,,,,,,16.0,
joshua-wilson,Joshua Wilson,P,1.0,1.0,,18.0,21.0,,,1.0,,,23.0,2.0,90.0,75.0
kai-delorenzo,Kai DeLorenzo,P,2.0,1.0,,21.0,22.0,,,3.0,3.0,,23.0,1.0,97.0,282.0
kelsen-alexander,Kelsen Alexander,P,1.0,,,23.0,26.0,,1.0,3.0,1.0,,26.0,,121.0,184.0
luke-brennan,Luke Brennan,P,2.0,,,3.0,2.0,,,1.0,,8.0,2.0,1.0,-7.0,18.0
luke-marks,Luke Marks,P,,2.0,,3.0,2.0,,1.0,,,,2.0,,5.0,-1.0
milan-rivas,Milan Rivas,P,,,,9.0,12.0,,,,,,12.0,2.0,28.0,27.0
nick-longo,Nick Longo,P,1.0,,,5.0,3.0,1.0,1.0,1.0,,,5.0,,58.0,12.0
nick-pappas,Nick Pappas,P,1.0,1.0,,13.0,10.0,,3.0,1.0,,,10.0,,143.0,86.0
nico-lake,Nico Lake,P,2.0,,,19.0,20.0,,,1.0,,,20.0,1.0,10.0,124.0
nico-ranabhat,Nico Ranabhat,P,,2.0,,8.0,7.0,,2.0,,,,7.0,,62.0,-3.0
paul-arters,Paul Arters,P,2.0,,,25.0,29.0,1.0,2.0,1.0,,,33.0,3.0,48.0,65.0
ross-barker,Ross Barker,P,1.0,1.0,,23.0,22.0,1.0,2.0,,1.0,,23.0,,82.0,191.0
sam-kaminsky,Sam Kaminsky,P,1.0,,,41.0,46.0,1.0,2.0,2.0,,,47.0,1.0,110.0,198.0
sam-stark,Sam Stark,P,1.0,,,4.0,2.0,,2.0,,,,2.0,,50.0,13.0
ted-schewe,Ted Schewe,P,,,,22.0,21.0,,,,,,22.0,1.0,113.0,80.0
thomas-coolidge,Thomas Coolidge,P,,,,9.0,8.0,1.0,,1.0,,,9.0,,33.0,15.0
victor-luo,Victor Luo,P,3.0,1.0,,34.0,38.0,,,1.0,1.0,,41.0,3.0,66.0,219.0
wyatt-mekler,Wyatt Mekler,P,3.0,,,26.0,28.0,,,1.0,1.0,,28.0,1.0,145.0,114.0
