player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-gravatt,Alex Gravatt,P,,,,1.0,,,1.0,,,,,,,22.0,
anthony-gutowsky,Anthony Gutowsky,P,,,,,,,,1.0,,,,,,,
avery-johnson,Avery Johnson,P,2.0,,,,,,,,,,,,,,
biz-schlaefer,Biz Schlaefer,P,1.0,,,6.0,6.0,,1.0,,,,,7.0,1.0,-2.0,40.0
bryan-walsh,Bryan Walsh,P,1.0,,,91.0,91.0,,1.0,5.0,2.0,,1.0,94.0,2.0,49.0,299.0
carson-chamberlain,Carson Chamberlain,P,1.0,2.0,,26.0,26.0,1.0,,1.0,,,,26.0,,325.0,7.0
chris-ellis,Chris Ellis,P,,,,1.0,2.0,,,,,,,2.0,,-11.0,31.0
colin-fremeau,Colin Fremeau,P,1.0,,,1.0,1.0,,,,,,,1.0,,11.0,12.0
daniel-garlock,Daniel Garlock,P,,,,,,,,,,,1.0,,2.0,,
daniel-robinson,Daniel Robinson,P,,2.0,,23.0,18.0,,2.0,,,,,21.0,3.0,216.0,27.0
dylan-hall,Dylan Hall,P,1.0,,,2.0,1.0,,1.0,,1.0,11.0,,1.0,,18.0,47.0
jack-havey,Jack Havey,P,4.0,,,60.0,61.0,1.0,2.0,,,,,64.0,3.0,266.0,297.0
jack-kelly,Jack Kelly,P,3.0,,,,,,,1.0,,,,,,,
jake-carrico,Jake Carrico,P,,,,,,,1.0,2.0,,,,,,,
jake-kenniv,Jake Kenniv,P,1.0,,,60.0,58.0,,2.0,2.0,,2.0,,59.0,1.0,265.0,18.0
joe-leibforth,Joe Leibforth,P,1.0,,,,,,,,,,,,,,
joel-willison,Joel Willison,P,,,,1.0,1.0,,,,,,,1.0,,18.0,9.0
john-tan,John Tan,P,,1.0,,,1.0,,,,,,,1.0,,,11.0
joseph-cubitt,Joseph Cubitt,P,3.0,,,59.0,71.0,,1.0,2.0,2.0,,,78.0,6.0,-19.0,374.0
joshua-wilson,Joshua Wilson,P,,,,,,,0.0,,,,,,,,
kai-delorenzo,Kai DeLorenzo,P,1.0,,,,,,1.0,3.0,,,,,,,
kelsen-alexander,Kelsen Alexander,P,,2.0,1.0,,,,,,,,,,1.0,,
luke-marks,Luke Marks,P,,,,,,,3.0,,,,,,,,
mac-weber,Mac Weber,P,,1.0,,8.0,7.0,,1.0,2.0,,,,8.0,1.0,19.0,22.0
malachi-neil,Malachi Neil,P,,1.0,,1.0,,,1.0,,,,,,,12.0,
matt-grinde,Matt Grinde,P,1.0,,,,,,,2.0,,,,,,,
nathan-ploeger,Nathan Ploeger,P,,,,,,,,,,2.0,,,,,
nicholas-betsch,Nicholas Betsch,P,1.0,1.0,,59.0,54.0,,3.0,1.0,,,,56.0,2.0,163.0,223.0
rees-mcdevitt,Rees McDevitt,P,,,,1.0,1.0,1.0,,,,,,1.0,,12.0,-11.0
robbie-davenport,Robbie Davenport,P,1.0,1.0,,6.0,8.0,,,1.0,,,,9.0,1.0,18.0,68.0
sam-stark,Sam Stark,P,,,,,,,1.0,2.0,1.0,,,,,,
shane-otis,Shane Otis,P,1.0,1.0,,5.0,4.0,,1.0,1.0,,,,5.0,1.0,41.0,-11.0
terry-gaither,Terry Gaither,P,,,,2.0,,,1.0,,,,,1.0,0.0,57.0,
