player_id,player_name,positions,def_int,def_solo,def_tot,misc_forced,recv_lg,recv_rec,recv_tar,recv_yds,score_conv,score_pts
dylan-wynn,Dylan WYNN,DB/DL/DT,,2.0,2.0,,,,,,,
marquis-bundy,Marquis Bundy,WR,,,,,14.0,3.0,3.0,42.0,1.0,2.0
shaquille-richardson,Shaquille Richardson,DB,1.0,8.0,8.0,1.0,,,,,,
