player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
abe-coffin,Abe Coffin,P,,1.0,,,,,,2.0,1.0,,,,,
ben-close,Ben Close,P,,,6.0,5.0,,,1.0,,,,6.0,1.0,33.0,27.0
ben-landry,Ben Landry,P,,1.0,19.0,17.0,1.0,2.0,1.0,,,,19.0,1.0,137.0,104.0
bret-bergmeier,Bret Bergmeier,P,1.0,,,,,,,,,,,,,
bryan-vohnoutka,Bryan Vohnoutka,P,,1.0,,,,,,,,,,,,
cameron-lacy,Cameron Lacy,P,1.0,,,,,,1.0,2.0,,,,1.0,,
carter-hawkins,Carter Hawkins,P,1.0,,11.0,12.0,,,,,,,15.0,2.0,18.0,76.0
carter-rae,Carter Rae,P,2.0,,20.0,20.0,,1.0,1.0,,3.0,,22.0,2.0,89.0,128.0
colin-berry,Colin Berry,P,2.0,,,,,,,,,,,,,
colin-ringwood,Colin Ringwood,P,,1.0,5.0,5.0,,,1.0,,,,5.0,,1.0,27.0
conner-henderson,Conner Henderson,P,,1.0,10.0,9.0,1.0,3.0,2.0,,,,10.0,1.0,106.0,41.0
dylan-declerck,Dylan DeClerck,P,1.0,,,,,,,,,,,,,
fletcher-hare,Fletcher Hare,P,,1.0,2.0,3.0,,,,,1.0,,4.0,1.0,-15.0,-2.0
gordon-larson,Gordon Larson,P,,1.0,,,,,,,,,,,,
jacob-fella,Jacob Fella,P,,,3.0,3.0,,1.0,,,,,3.0,,11.0,8.0
jason-tschida,Jason Tschida,P,,,,,1.0,,,,,,,1.0,,
jeffrey-burris,Jeffrey Burris,P,,,7.0,4.0,,3.0,,,,,4.0,,91.0,38.0
jeremy-branson,Jeremy Branson,P,3.0,,11.0,13.0,,,1.0,,,1.0,13.0,,41.0,145.0
jeremy-keusch,Jeremy Keusch,P,1.0,,19.0,17.0,1.0,1.0,1.0,,,,18.0,1.0,119.0,51.0
joey-cari,Joey Cari,P,1.0,,8.0,8.0,,,1.0,,,,8.0,,40.0,38.0
josh-klane,Josh Klane,P,,,25.0,28.0,,,1.0,,,,31.0,3.0,37.0,177.0
keegan-north,Keegan North,P,4.0,,37.0,41.0,1.0,,2.0,1.0,,,44.0,3.0,46.0,88.0
levi-jacobs,Levi Jacobs,P,,,12.0,10.0,,1.0,1.0,,,,11.0,1.0,128.0,24.0
marco-dregni,Marco Dregni,P,1.0,1.0,14.0,13.0,,,1.0,,,,14.0,1.0,87.0,34.0
marty-adams,Marty Adams,P,1.0,,,,,3.0,,,,,,,,
mickey-walsh,Mickey Walsh,P,,,,,,,1.0,1.0,,,,,,
rick-gross,Rick Gross,P,1.0,,35.0,28.0,,5.0,5.0,,,,30.0,,215.0,74.0
sam-berglund,Sam Berglund,P,,,,,1.0,,2.0,,,,,,,
seth-gudeman,Seth Gudeman,P,,3.0,2.0,3.0,,,,,6.0,,4.0,1.0,17.0,1.0
tanner-barcus,Tanner Barcus,P,,1.0,,,,,1.0,,,,,,,
travis-carpenter,Travis Carpenter,P,3.0,1.0,36.0,37.0,,,,1.0,,1.0,39.0,2.0,-6.0,145.0
tristan-van-de-moortele,Tristan Van de Moortele,P,,,,,,,,,,1.0,,,,
will-wettengel,Will Wettengel,P,,,1.0,3.0,,,,,,,3.0,,6.0,-11.0
william-brandt,William Brandt,P/QB,,,,,1.0,,,1.0,,,,,,
xavier-payne,Xavier Payne,P,1.0,,39.0,47.0,,,,,,,51.0,4.0,22.0,123.0
