player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
demarius-washington,Demarius Washington,WR,,,,1.0,51.0,4.0,,
edward-smith,Edward Smith,WR,,,,2.0,42.0,4.0,,
jairus-grissom,Jairus Grissom,QB/WR,,,,0.0,21.0,1.0,1.0,4.0
jalen-morton,Jalen Morton,QB,1.0,4.0,316.0,0.0,7.0,1.0,2.0,26.0
javin-kilgo,Javin Kilgo,QB,1.0,7.0,319.0,,,,0.0,18.0
logan-wright,Logan Wright,RB,,,,0.0,4.0,1.0,0.0,4.0
malik-honeycutt,Malik Honeycutt,WR,,,,4.0,132.0,11.0,0.0,1.0
rakeen-cato,Rakeen Cato,QB,0.0,1.0,35.0,,,,,
shiloh-flanagan,Shiloh Flanagan,WR,,,,0.0,12.0,1.0,,
tracy-brooks,Tracy Brooks,RB,,,,2.0,157.0,10.0,0.0,-1.0
