player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
ada-bhasin,Ada Bhasin,,1.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,17.0,1.0,1.0,,1.0
ch-abeyratne,CH Abeyratne,,9.0,0.0,1.0,5.0,4.0,0.0,,,,,,,,1.0
d-wulandari,D Wulandari,,21.0,1.0,0.0,4.0,21.0,0.0,,,,,,,,1.0
e-ungerman,E Ungerman,,,,,,,,12.0,0.0,0.0,11.0,1.0,3.0,,1.0
gk-diviya,GK Diviya,,16.0,0.0,0.0,2.0,14.0,0.0,12.0,0.0,0.0,9.0,1.0,0.0,,1.0
m-corazon,M Corazon,,10.0,1.0,0.0,1.0,8.0,0.0,,,,,,,,1.0
nk-ariani,NK Ariani,,,,,,,,6.0,0.0,0.0,4.0,0.0,0.0,,1.0
nl-jacinta-si-ping,NL Jacinta Si Ping,,,,,,,,,,,,,,1.0,1.0
nlkwr-dewi,NLKWR Dewi,,21.0,3.0,1.0,3.0,23.0,0.0,6.0,0.0,0.0,4.0,2.0,0.0,,1.0
npan-sakarini,NPAN Sakarini,,5.0,0.0,0.0,5.0,4.0,0.0,,,,,,,1.0,1.0
nw-sariani,NW Sariani,,,,,,,,6.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0
rd-pangestuti,RD Pangestuti,,4.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,1.0
rr-seth,RR Seth,,3.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,,1.0
san-maypriani,SAN Maypriani,,,,,,,,12.0,0.0,0.0,9.0,1.0,0.0,,1.0
shafina-mahesh,Shafina Mahesh,,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,1.0,20.0,1.0,0.0,,1.0
