player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
aj-merriman,AJ Merriman,P,,,2.0,,1.0,1.0,,,,,1.0,39.0,
andrew-roy,Andrew Roy,P,4.0,,,,,,,,,,,,
brendan-mccann,Brendan McCann,P,,,4.0,4.0,1.0,,,,10.0,6.0,1.0,6.0,20.0
caelan-mcsweeney,Caelan McSweeney,P,1.0,1.0,49.0,61.0,2.0,,1.0,2.0,,62.0,1.0,15.0,297.0
christian-boxley,Christian Boxley,P,,,,,,,,,,,2.0,,
cole-davis-brand,Cole Davis-Brand,P,1.0,1.0,45.0,47.0,1.0,1.0,1.0,1.0,,50.0,2.0,110.0,230.0
colin-sunde,Colin Sunde,P,1.0,,17.0,21.0,,1.0,,1.0,,23.0,2.0,-4.0,127.0
declan-kervick,Declan Kervick,P,,,1.0,1.0,1.0,,,,,1.0,,11.0,10.0
frederick-farah,Frederick Farah,P,,,3.0,3.0,,,,,,3.0,,30.0,-4.0
gabe-colton,Gabe Colton,P,,,2.0,1.0,,1.0,,,1.0,1.0,,8.0,-1.0
garrett-braun,Garrett Braun,P,,1.0,3.0,4.0,,,,,,5.0,1.0,6.0,11.0
isaac-lee,Isaac Lee,P,,,7.0,7.0,,,,1.0,,9.0,2.0,25.0,94.0
jac-carreiro,Jac Carreiro,P,,1.0,1.0,1.0,,,,,,1.0,,10.0,
jacques-nissen,Jacques Nissen,P,,,,,,1.0,,,,,,,
jake-taylor,Jake Taylor,P,2.0,,19.0,22.0,,,1.0,,,23.0,,18.0,134.0
jonny-malks,Jonny Malks,P,,1.0,,,,,,,,,,,
kevin-healey,Kevin Healey,P,,1.0,,,,,,,,,2.0,,
luca-harwood,Luca Harwood,P,,,7.0,3.0,,1.0,1.0,,,6.0,2.0,91.0,-5.0
luke-rehfuss,Luke Rehfuss,P,,1.0,,,,,1.0,,,,1.0,,
moussa-dia,Moussa Dia,P,,,,,,1.0,,,,,1.0,,
nathanial-dick,Nathanial Dick,P,1.0,,1.0,2.0,,,,1.0,,2.0,,9.0,65.0
oscar-graff,Oscar Graff,P,,1.0,1.0,1.0,,,,,,1.0,,10.0,3.0
phillip-joyce,Phillip Joyce,P,,1.0,1.0,2.0,1.0,,1.0,,,2.0,,16.0,27.0
rhys-bergeron,Rhys Bergeron,P,1.0,,,,,,,,,,,,
rocco-linehan,Rocco Linehan,P,1.0,2.0,5.0,4.0,,1.0,,,7.0,5.0,1.0,87.0,34.0
simon-carapella,Simon Carapella,P,3.0,,26.0,24.0,,1.0,2.0,,,25.0,,324.0,82.0
tanner-halkyard,Tanner Halkyard,P,2.0,,21.0,15.0,,5.0,1.0,1.0,,16.0,1.0,292.0,143.0
thomas-edmonds,Thomas Edmonds,P,,3.0,,,,,,,,,,,
troy-holland,Troy Holland,P,,,,,,,1.0,,,,,,
tyler-chan,Tyler Chan,P,3.0,,37.0,32.0,1.0,2.0,4.0,3.0,,37.0,4.0,324.0,373.0
