player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-thomas-cobb,Andre Thomas-Cobb,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
asi-tupua,Asi Tupua,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,25.0,1.0,44.0,3.0,,,,,,1.0,1.0,,,,
brandon-munoz,Brandon Munoz,DL,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
brean-michel,Brean Michel,WR,,,,,,,,,,,,,,,,2.0,,,,,,,12.5,14.0,0.0,25.0,,,,,,,15.3,19.0,0.0,46.0,3.0,,,,,,,,,,,
byron-cooper,Byron Cooper,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
carlton-watkins,Carlton Watkins,DB,,,,,,,,,,,,,,,,,7.0,49.3,0.0,2.0,444.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0
charles-westbrook,Charles Westbrook,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
christian-stokley,Christian Stokley,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
cory-henry,Cory Henry,DL,,,,,,,,,,1.0,1.0,,,,0.0,,,,,,,,,,,,17.0,9.0,,21.0,2.0,92.0,,,,,,4.2,19.0,13.0,1.0,54.0,,,,,,
dajon-richard,Dajon Richard,ATH,,,,,,,,,,,,,,,,1.0,,,,,,,32.0,32.0,0.0,32.0,,,,,,,8.0,8.0,1.0,8.0,1.0,,,,,,,,,,,
demario-mays,Demario Mays,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.5,0.0,,
devin-groenhagen,Devin Groenhagen,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,20.0,1.0,43.0,3.0,3.3,7.0,3.0,2.0,10.0,,,,,,
devontae-jackson,Devontae Jackson,RB,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,3.0,,20.0,0.0,34.0,,,,,,3.7,7.0,3.0,0.0,11.0,,,,,,
dillon-thomas,Dillon Thomas,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,6.0,0.5,0.0,,
drew-prohaska,Drew Prohaska,RB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,14.0,9.0,,45.0,3.0,153.0,,,,,,3.0,6.0,4.0,0.0,12.0,,,,,,
fred-hardgrove,Fred Hardgrove,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
garrett-pemelton,Garrett Pemelton,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,0.0,24.0,3.0,,,,,,1.0,1.0,1.0,0.0,,
greg-dent,Greg Dent,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
harold-brooks,Harold Brooks,ATH,,,,2.0,0.0,0.0,,,,,,,,,,,0.0,43.8,0.0,0.0,175.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
isaiah-robinson,Isaiah Robinson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,2.0,,,,,,,13.5,14.0,0.0,27.0,,,,,,,13.0,16.0,0.0,26.0,2.0,,,,,,,,,,,
jalen-hicks,Jalen Hicks,DB,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,0.0,,
james-riddle,James Riddle,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,0.0,21.0,1.0,,,,,,,,,,,
javon-hayes,Javon Hayes,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
jo-el-shaw,Jo-El Shaw,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
kewan-alfred,Kewan Alfred,DL/LB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,5.0,0.5,0.0,,
laroderick-scott,La'Roderick Scott,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,1.0,45.0,1.0,5.0,11.0,13.0,2.0,65.0,,,,,,
lagrant-pegram-jr,LaGrant Pegram Jr.,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
malcolm-mccoy,Malcolm Mccoy,LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,,,,
mason-pierce,Mason Pierce,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,
michael-jenkins,Michael Jenkins,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.5,0.0,,
patrick-mcsweeney,Patrick Mcsweeney,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
sam-hammond,Sam Hammond,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5.0,0.0,7.0,2.0,,,,,,,,,,,
