player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
ben-hebert,Ben Hebert,,0.0,1.0,1.0,2.0,8.0
brad-jacobs,Brad Jacobs,,0.0,1.0,1.0,2.0,8.0
brett-gallant,Brett Gallant,,0.0,1.0,1.0,2.0,8.0
lukas-klima,Lukas Klima,,1.0,1.0,0.0,8.0,2.0
lukas-klipa,Lukas Klipa,,1.0,1.0,0.0,8.0,2.0
marc-kennedy,Marc Kennedy,,0.0,1.0,1.0,2.0,8.0
marek-cernovsky,Marek Cernovsky,,1.0,1.0,0.0,8.0,2.0
martin-jurik,Martin Jurik,,1.0,1.0,0.0,8.0,2.0
radek-bohac,Radek Bohac,,1.0,1.0,0.0,8.0,2.0
tyler-tardi,Tyler Tardi,,0.0,1.0,1.0,2.0,8.0
